uid	|	name	|	type	|	rank	|	
1159732	|	Betulaphis quadrituberculata intermedia	|	synonym	|		|	
1159732	|	Betulaphis quadrula	|	synonym	|		|	
1159732	|	Pterocallis minimum	|	synonym	|		|	
1159740	|	Betulaphis quadrituberculata helvetica	|	synonym	|		|	
1159740	|	Betulaphis viridis	|	synonym	|		|	
1159744	|	Betulaphis asensoriata	|	synonym	|		|	
1159746	|	Betulaphis arctosetis	|	synonym	|		|	
1159749	|	Cepegillettea betulifoliae	|	synonym	|		|	
1159753	|	Jaria	|	synonym	|		|	
1159756	|	Taoia exotica	|	synonym	|		|	
1159758	|	Börnerina	|	synonym	|		|	
1159758	|	Börnerina (Börnerinella)	|	synonym	|		|	
1159758	|	Börnerina (Boernerinella)	|	synonym	|		|	
1159770	|	Betucallis	|	synonym	|		|	
1159773	|	Betacallis betulisucat	|	synonym	|		|	
1159773	|	Betacallis betulisucta	|	synonym	|		|	
1159777	|	Betacallis sichuanensis	|	synonym	|		|	
1159781	|	Clethrobus	|	synonym	|		|	
1159783	|	Callipterus giganteus	|	synonym	|		|	
1159783	|	Clethrobius betulae	|	synonym	|		|	
1159783	|	Clethrobius pilosa	|	synonym	|		|	
1159791	|	Euceraphis betulifoliae	|	synonym	|		|	
1159801	|	Nigritarsifex	|	synonym	|		|	
1159806	|	Euceraphis tibiobrevis	|	synonym	|		|	
1159806	|	Euceraphis variabilis	|	synonym	|		|	
1159806	|	Euceraphis brevis	|	synonym	|		|	
1159806	|	Euceraphis sitchensis	|	synonym	|		|	
1159812	|	Euceraphis deducta	|	synonym	|		|	
1159814	|	Aphis pinicolens	|	synonym	|		|	
1159816	|	Euceraphis betula	|	synonym	|		|	
1159816	|	Aphis cerasicoleus	|	synonym	|		|	
1159816	|	Myzocallis betularius	|	synonym	|		|	
1159816	|	Aphis cerasicolens	|	synonym	|		|	
1159816	|	Aphis betulae	|	synonym	|		|	
1159816	|	Callipterus bicolor	|	synonym	|		|	
1159816	|	Aphis discolor	|	synonym	|		|	
1159816	|	Aphis nigritarsis	|	synonym	|		|	
1159816	|	Euceraphis nivalis	|	synonym	|		|	
1159801	|	Callipteroides	|	synonym	|		|	
1159801	|	Leptopteryx	|	synonym	|		|	
1159801	|	Mimocallis	|	synonym	|		|	
1159801	|	Quippelachnus	|	synonym	|		|	
1159836	|	Callipterus betulaecolens	|	synonym	|		|	
1159840	|	Calaphis viridipallida	|	synonym	|		|	
1159840	|	Calaphis granovskyi	|	synonym	|		|	
1159840	|	Kallistaphis basalis	|	synonym	|		|	
1159840	|	Calaphis betulae	|	synonym	|		|	
1159833	|	Neocallipterus	|	synonym	|		|	
1159833	|	Kallistaphis	|	synonym	|		|	
1159833	|	Siphonocallis	|	synonym	|		|	
1159851	|	Calaphis magnolifoliae	|	synonym	|		|	
1159856	|	Calaphis betulaecolens levitubulosa	|	synonym	|		|	
1159858	|	Oncodaphis	|	synonym	|		|	
1159860	|	Callipterinella tubercuatla	|	synonym	|		|	
1159860	|	Aphis betularia	|	synonym	|		|	
1159860	|	Chaitophorus tricolor	|	synonym	|		|	
1159858	|	Procalaphis	|	synonym	|		|	
1159865	|	Chaitophorus annulatus	|	synonym	|		|	
1159865	|	Chaitophorus betulae	|	synonym	|		|	
1159870	|	Agrioaphidini	|	synonym	|		|	
1159870	|	Myzocallidini	|	synonym	|		|	
1159870	|	Myzocallidinae	|	synonym	|		|	
1159870	|	Myzocallidea	|	synonym	|		|	
1159870	|	Myzocallinae	|	synonym	|		|	
