id	description	type
1159613	Terrestrial.	habitat
1159614	Terrestrial.	habitat
1159615	Terrestrial.	habitat
1159616	Terrestrial.	habitat
1159617	Terrestrial.	habitat
1159618	Terrestrial.	habitat
1159619	Terrestrial.	habitat
1159620	Terrestrial.	habitat
1159621	Terrestrial.	habitat
1159622	Terrestrial.	habitat
1159623	Terrestrial.	habitat
1159624	Terrestrial.	habitat
1159625	Terrestrial.	habitat
1159626	Terrestrial.	habitat
1159627	Terrestrial.	habitat
1159628	Terrestrial.	habitat
1159629	Terrestrial.	habitat
1159630	Terrestrial.	habitat
1159631	Terrestrial.	habitat
1159632	Terrestrial.	habitat
1159633	Terrestrial.	habitat
1159634	Terrestrial.	habitat
1159635	Terrestrial.	habitat
1159636	Terrestrial.	habitat
1159637	Terrestrial.	habitat
1159638	Terrestrial.	habitat
1159639	Terrestrial.	habitat
1159640	Terrestrial.	habitat
1159641	Terrestrial.	habitat
1159642	Terrestrial.	habitat
1159643	Terrestrial.	habitat
1159644	Terrestrial.	habitat
1159645	Terrestrial.	habitat
1159646	Terrestrial.	habitat
1159647	Terrestrial.	habitat
1159648	Terrestrial.	habitat
1159649	Terrestrial.	habitat
1159650	Terrestrial.	habitat
1159651	Terrestrial.	habitat
1159652	Terrestrial.	habitat
1159653	Terrestrial.	habitat
1159654	Terrestrial.	habitat
1159655	Terrestrial.	habitat
1159656	Terrestrial.	habitat
1159657	Terrestrial.	habitat
1159658	Terrestrial.	habitat
1159659	Terrestrial.	habitat
1159660	Terrestrial.	habitat
1159661	Terrestrial.	habitat
1159662	Terrestrial.	habitat
1159663	Terrestrial.	habitat
1159664	Terrestrial.	habitat
1159665	Terrestrial.	habitat
1159666	Terrestrial.	habitat
1159667	Terrestrial.	habitat
1159668	Terrestrial.	habitat
1159669	Terrestrial.	habitat
1159670	Terrestrial.	habitat
1159671	Terrestrial.	habitat
1159672	Terrestrial.	habitat
1159673	Terrestrial.	habitat
1159674	Terrestrial.	habitat
1159675	Terrestrial.	habitat
1159676	Terrestrial.	habitat
1159677	Terrestrial.	habitat
1159678	Terrestrial.	habitat
1159679	Terrestrial.	habitat
1159680	Terrestrial.	habitat
1159681	Terrestrial.	habitat
1159682	Terrestrial.	habitat
1159683	Terrestrial.	habitat
1159684	Terrestrial.	habitat
1159685	Terrestrial.	habitat
1159686	Terrestrial.	habitat
1159687	Terrestrial.	habitat
1159688	Terrestrial.	habitat
1159689	Terrestrial.	habitat
1159690	Terrestrial.	habitat
1159691	Terrestrial.	habitat
1159692	Terrestrial.	habitat
1159693	Terrestrial.	habitat
1159694	Terrestrial.	habitat
1159695	Terrestrial.	habitat
1159696	Terrestrial.	habitat
1159697	Terrestrial.	habitat
1159698	Terrestrial.	habitat
1159699	Terrestrial.	habitat
1159700	Terrestrial.	habitat
1159701	Terrestrial.	habitat
1159702	Terrestrial.	habitat
1159703	Terrestrial.	habitat
1159704	Terrestrial.	habitat
1159705	Terrestrial.	habitat
1159706	Terrestrial.	habitat
1159707	Terrestrial.	habitat
1159708	Terrestrial.	habitat
1159709	Terrestrial.	habitat
1159710	Terrestrial.	habitat
1159711	Terrestrial.	habitat
1159712	Terrestrial.	habitat
1159713	Terrestrial.	habitat
1159714	Terrestrial.	habitat
1159715	Terrestrial.	habitat
1159716	Terrestrial.	habitat
1159717	Terrestrial.	habitat
1159718	Terrestrial.	habitat
1159719	Terrestrial.	habitat
1159720	Terrestrial.	habitat
1159721	Terrestrial.	habitat
1159722	Terrestrial.	habitat
1159723	Terrestrial.	habitat
1159724	Terrestrial.	habitat
1159725	Terrestrial.	habitat
1159726	Terrestrial.	habitat
1159727	Terrestrial.	habitat
1159728	Terrestrial.	habitat
1159729	Terrestrial.	habitat
1159730	Terrestrial.	habitat
1159731	Terrestrial.	habitat
1159732	Terrestrial.	habitat
1159733	Terrestrial.	habitat
1159734	Terrestrial.	habitat
1159735	Terrestrial.	habitat
1159736	Terrestrial.	habitat
1159737	Terrestrial.	habitat
1159738	Terrestrial.	habitat
1159739	Terrestrial.	habitat
1159740	Terrestrial.	habitat
1159741	Terrestrial.	habitat
1159742	Terrestrial.	habitat
