id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1161094	typeSpecies	Heie. 1967. Studies on fossil aphids (Homoptera: Aphidoidea) especially in the Copenhagen collection of fossils in Baltic amber. Spolia Zoologica Musei Hauniensis 26:4	Lachnus dryoides Germar & Berendt, 1856								
1161107	typeSpecies	Heie. 1967. Studies on fossil aphids (Homoptera: Aphidoidea) especially in the Copenhagen collection of fossils in Baltic amber. Spolia Zoologica Musei Hauniensis 26:50, 77	Germaraphis (Balticorostrum) oblonga Heie, 1967								
1161111	typeSpecies	Heie. 1967. Studies on fossil aphids (Homoptera: Aphidoidea) especially in the Copenhagen collection of fossils in Baltic amber. Spolia Zoologica Musei Hauniensis 26:50, 86	Germaraphis (Henningsenia) ungulata Heie, 1967								
1161113	typeSpecies	Wegierek. 1996. Aphid species (Homoptera: Aphidinea) from the collection of the Baltic amber in the Museum of the Earth, Polish Academy of Sciences, Warsaw (Part two). Prace Muzeum Ziemi 44:28	Ambopemphigus romani Wegierek, 1996								
1161129	typeSpecies	Zhang, Guangxue & Qiao. 1999. In Zhang, Guangxue, Qiao, Zuodong Hu & Cao. Study on a new genus Siciunguis and description of three new species from China (Homoptera: Aphidoidea: Pemphigidae: Eriosomatinae). Acta Entomologica Sinica 42(1):58	Siciunguis decima Zhang & Qiao, 1999								
1161132	typeSpecies	Barbagallo. 2002. Zelkovaphis trinacriae, a new eriosomatine aphid genus and species living on Zelkova in Sicily (Rhynchota: Aphididae). Bolletino di Zoologia agraria e di Bachicoltura Series 2 34(3):284	Zelkovaphis trinacriae Barbagallo, 2002								
1161138	typeSpecies	Monell. 1877. A new genus of Aphidae. The Canadian Entomologist 9(6):843	Byrsocrypta ulmicola Fitch, 1859								
1161149	typeSpecies	Börner. 1926. In Abderhalden. Zuchtung der Homopteren. Handbuch der biologischen Arbeitsmethoden, Urban & Schwarzenberg, Berlin & Wien 9 part 1(2):16	Tetraneura graminis Monell, 1882								
1161150	typeSpecies	Hille Ris Lambers. 1966. Notes on California aphids, with descriptions of new genera and new species (Homoptera: Aphididae). Hilgardia 37(15):105	Dryopeia morrisoni Baker, 1919								
1161155	typeSpecies	Hille Ris Lambers. 1973. A new genus and species of Aphididae (Homoptera) from Florida. Florida Entomologist 56(4):296	Schizoneurata tissoti Hille Ris Lambers, 1973								
1161157	typeSpecies	Schouteden. 1906. Catalogue des aphides de Belgique. Mémoires de la Société Entomolgique de Belgique 12:195	Kaltenbachiella menthae Schouteden, 1906								
1161176	typeSpecies	Takahashi, R. 1963. Two new genera and five new or little-known species of Aphididae from Japan (Homoptera). Kontyû 31(3):165	Aphidounguis mali Takahashi, 1963								
1161182	typeSpecies	Dzhibladze. 1960. New species of aphids of the subfamily Eriosomatinae on Caucasian Zelkova from Georgia. Trudy Instituta Zoologii Akademii Nauk Gruzinskoy SSR 17:234	Byrsocryptoides zelkovae Dzhibladze, 1960								
1161185	typeSpecies		Eriosoma clematicola Takahashi, 1924								
1161193	typeSpecies	Stroyan. 1963. A new genus and species of Eriosomatinae (Homoptera: Aphidoidea) from the north-west Himalayas. Proceedings of the Royal Entomological Society of London Series B, Taxonomy 32(5):81	Gharesia polunini Stroyan, 1963								
1161199	typeSpecies	Hille Ris Lambers. 1973. Notes on some Oriental aphids, with descriptions of a new genus and four new species (Homoptera: Aphididae). Oriental Insects 7(2):250	Schizoneurella indica Hille Ris Lambers, 1973								
1161202	typeSpecies	Kaltenbach. 1843. Monographie der Familien der Pflanzenläuse (Phytophthires), P. Fagot, Aachen 89	Aphis gallarum ulmi De Geer, 1773								
1161203	typeSpecies		Aphis ulmi Linnaeus, 1758								
1161233	typeSpecies	Wilson, H.F. 1910. A list of the genera described as new from 1758 to 1909 in the family Aphididae. Entomological News 21(4):301	Amycla fuscifrons Koch, 1857								
1161234	typeSpecies	Agassiz. 1846. Nomenclatoris Zoologici Index Universalis, Continens Nomina Systematica Classum, Ordinem, Familiarum et Generum Animalium Omnium, Tam Viventium Quam Fossilium, Secundum Ordinem Alphabeticum Unicum Disposita, Adjectis Homonymiis Plantarum, Nec Non Variis Adnotationibus Et Emendationibus, Jent et Gassmann, Soloduri 451	Aphis ulmi Linnaeus, 1758								
1161272	typeSpecies		Endeis bella Koch, 1857								
1161273	typeSpecies	Koch, C.L. 1857. Die Pflanzenläuse Aphiden getreu nach dem Leben abgebildet und beschrieben, J.L. Lotzbeck, Nürnberg 9:312	Endeis bella Koch, 1857								
1161277	typeSpecies		Tetraneura javensis van der Goot, 1917								
1161284	typeSpecies	Hille Ris Lambers. 1970[1969]. A study of Tetraneura Hartig, 1841 (Homoptera, Aphididae), with descriptions of a new subgenus and new species. Bollettino di Zoologia Agraria e di Bachicoltura Serie II 9:159	Dryopeia hirsuta Baker, 1921								
1161303	typeSpecies		Eriosoma mali Leach, 1820								
1161306	typeSpecies	Amyot. 1847. Entomologie française. Rhynchotes (Suite) (1). Annales de la Société Entomologique de France Deuxième Série 5:645	Schizoneura lanuginosa Hartig, 1839								
