id	typeStatus	typeDesignatedBy	scientificName	institutionCode	catalogNumber	locality	sex	recordedBy	verbatimEventDate	verbatimLongitude	verbatimLatitude
1221487	holotype	Brongniart. 1893. Recherches pour servir a l’histoire des insectes fossiles des temps primaires precedees d’une etude sur la nervation des ailes des insectes. Bulletin de la Societe d’Industrie Minerale de Saint Etienne, (3) 7:124-615	Stenoneura maximi Brongniart, 1893	MNHN	MNHN-DHT-R51291	Southwestern Europe, France, France	undetermined	Doubinger and Vetter	January 1, 1985		
1221500	holotype	Brongniart. 1893. Recherches pour servir a l’histoire des insectes fossiles des temps primaires precedees d’une etude sur la nervation des ailes des insectes. Bulletin de la Societe d’Industrie Minerale de Saint Etienne, (3) 7:124-615	Palaeocixius antiquus Brongniart, 1893	MNHN	MNHN-DHT-R51111	Southwestern Europe, France, France	undetermined	Doubinger and Vetter	January 1, 1985		
1221503	holotype	Meunier. 1921. Nouvelles recherches sur les insectes du bassin houiller de Commentry. Annales de Paleontologie 10:57-168	Polyetes elegantissima Meunier, 1921	MNHN	MNHN-DHT-R51181	Southwestern Europe, France, France	undetermined	Doubinger and Vetter	January 1, 1985		
1221504	holotype	Martynov. 1937. Permskie iskopaemye nasekomye Kargaly i ikh otnosheniya [The Permian extinct insects of Kargala and their relationship]. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 7(2):8-91	Megakhosara fasciipennis Martynov, 1937	PIN	PIN, no. 100/9	East Europe, Russia South: Spoil heaps of the Kargala Copper Mines.	undetermined				
1221506	holotype	Martynov. 1937. Permskie iskopaemye nasekomye Kargaly i ikh otnosheniya [The Permian extinct insects of Kargala and their relationship]. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 7(2):8-91	Syndesmorpha composita Martynov, 1937	PIN	PIN, no. 100/19	East Europe, Russia South: Spoil heaps of the Kargala Copper Mines.	undetermined				
1221508	holotype	Sharov. 1961. In Rohdendorf, Becker-Migdisova, Martynova & Sharov. Paleozojskie nasekomye kuznetskogo bassejna [Paleozoic insects of the Kuznetsk basin]. Otryad Paraplecoptera [Order Paraplecoptera]. Trudy Paleontologicheskogo Instituta Akademii Nauk, SSSR (Tr. Paleont. Inst. Akad. Nauk, SSSR) 85:164-224	Stegopterum hirtum Sharov, 1961	PIN	PIN, no. 1197/318	East Europe, Russia South: Locality of Kaltan.	undetermined				
1221509	holotype	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) from the End of the Late Permian to the First Half of the Triassic. Paleontological Journal 38(5):514-521	Stegopterum anteanatalis Aristov, 2004	PIN	PIN, no. 1631/206	East Europe, Northwest European Russia: Bol’shezemel’skaya tundra, Chernyshev Range, Adz’va River.	undetermined				
1221511	holotype	Aristov. 2004. The Fauna of Grylloblattid Insects (Grylloblattida) from the End of the Late Permian to the First Half of the Triassic. Paleontological Journal 38(5):514-521	Shurabia annosa Aristov, 2004	PIN	PIN, no. 4887/28	East Europe, Russia South: Right bank of the Tom’ River, 10 km downstream of the village of Ust’-Naryk, locality of Babii Kamen’.	undetermined				
1221556	holotype	Prokop, Weiss, Dechambre & Nel. 2012. Early Permian insects from Saar-Nahe Basin of Odernheim  town site, Rheinland-Pfalz in Germany (lnsecta, Grylloblattida,  Blattinopseida). Geodiversitas 34(2):271-281	Oborella germanica Prokop, Weiss, Dechambre & Nel, 2012	MNHN	MNHN.F.A31034	Middle Europe, Germany: Odernheim town.	undetermined				
1221557	holotype	Prokop, Weiss, Dechambre & Nel. 2012. Early Permian insects from Saar-Nahe Basin of Odernheim  town site, Rheinland-Pfalz in Germany (lnsecta, Grylloblattida,  Blattinopseida). Geodiversitas 34(2):271-281	Oborella brauckmanni Prokop, Weiss, Dechambre & Nel, 2012	MNHN	MNHN.F.A31044	Middle Europe, Germany: Odernheim town.	undetermined				
1221560	type	Carpenter. 1926. Fossil insects from the Lower Permian of Kansas. BULLETIN MUSEUM COMPARATIVE ZOOLOGY HARVARD COLL (BULL MUS COMP ZOOL HARVARD COLL) 67(13):437-444	Estadia tripunctata Carpenter, 1926	MCZ	M. C. Z. 2,786 a, b	North-Central U.S.A., Kansas: Elmo	undetermined				
1221562	holotype	Carpenter. 1935. The Lower Permian Insects of Kansas. Part 7. Order Protoperlaria. Proceedings of the American Academy of Arts and Sciences (Proc. Amer. Acad. Arts Sci.) 70(4):103-146	Paraprisca grandis Carpenter, 1935	MCZ	No. 3585ab	North-Central U.S.A., Kansas	undetermined	Carpenter	January 1, 1927		
1221584	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Permopectina tshekardensis Aristov, 2005	PIN	PIN, no. 1700/4930	East Europe, Russia Central: left bank of the Sylva River near the mouth of the Chekarda  River, Chekarda locality.	undetermined				
1221585	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Sylvaprisca alba Aristov, 2005	PIN	PIN, no. 1206/16	East Europe, Russia North: Vorkuta locality, Vodorazdel’nyi Creek, Outcrop 10, 5-427/54.	undetermined				
1221593	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Artinska vorkutensis Aristov, 2005	PIN	PIN, no. 1631/249	Europe, East Europe: Upper Syr’yaga coalfield, borehole VSK-352, depth 123.4 m.	undetermined				
1221594	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Permopectina vorkutensis Aristov, 2005	PIN	PIN, no. 1206/34	Europe, East Europe: Outcrop 49, Bed 13b.	undetermined				
1221595	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Khosaridelia rigida Aristov, 2005	PIN	PIN, no. 1631/407	Europe, East Europe: Upper Syr’yaga coalfield, borehole VSK-608, depth 1446.7 m.	undetermined				
1221609	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Vorkutopterum monstruosum Aristov, 2005	PIN	PIN, no. 1631/239	East Europe, Russia Central: Yun’yaga coalfield, borehole YuK-1, depth 247.6 m.	undetermined				
1221613	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Parapermula circummaculosa Aristov, 2005	PIN	PIN, no. 1631/414	East Europe, Russia Central: Khal’mer-Yu coalfield, borehole KhK-997, depth 717.7 m.	undetermined				
1221614	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Liomopterella parakitiakensis Aristov, 2005	PIN	PIN, no. 1631/408	East Europe, Russia Central: Upper Syr’yaga coalfield, borehole VSK-607, depth 1015.5 m.	undetermined				
1221618	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Liomopterella tota Aristov, 2005	PIN	PIN, no. 1631/429	East Europe, Russia Central: Khal’mer-Yu coalfield, borehole KhK-972, depth 346.5 m.	undetermined				
1221619	holotype	Aristov. 2005. In Rasnitsyn, Sukacheva & Aristov. Permian insects of the Vorkuta group in the Pechora Basin, and their stratigraphic implications. Paleontological Journal 39(4)	Liomopterum minor Aristov, 2005	PIN	PIN, no. 1631/409	East Europe, Russia Central: Khal’mer-Yu coalfield, borehole KhK-993, depth 328 m.	undetermined				
1221620	holotype	Aristov. 2009. New Grylloblattids of the Family Lemmatophoridae (Insecta: Grylloblattida) from the Permian of Russia. Paleontological Journal 43(3):272-276	Artinska sojanensis Aristov, 2009	PIN	PIN, no. 117/1008	East Europe, Russia North: Right bank of the Soyana River, 56–60 km upstream of its mouth, Soyana locality.	undetermined				
1221622	holotype	Aristov. 2009. New Grylloblattids of the Family Lemmatophoridae (Insecta: Grylloblattida) from the Permian of Russia. Paleontological Journal 43(3):272-276	Uraloprisca lisca Aristov, 2009	PIN	PIN, no. 3353/368	East Europe, Russia North: Right bank of the Soyana River, 56–60 km upstream of its mouth,  Soyana locality.	undetermined				
1221623	holotype	Zalessky, Y. M. 1952. On Pre-Caddisflies from the Permian of the Ural Mountains. Dokl. Akad. Nauk SSSR 82(6):985-988	Paraprisca uralica Zalessky, 1952	VSGM		East Europe, Russia Central: left bank of the Sylva River at the mouth of the Chekarda River, Chekarda locality.	undetermined				
