id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1172238	1172238	urn:lsid:Embioptera.speciesfile.org:TaxonName:233	1172238	1172233	Oligotoma gurneyi spinulosa	Davis. 1936. Studies in Australian Embioptera. Part I. Systematics. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. N.S.W.) 61:229-253, 7 figs.	subspecies	Davis, 1936	valid			2015-12-02T11:40:00
1172239	1172239	urn:lsid:Embioptera.speciesfile.org:TaxonName:232	1172239	1172233	Oligotoma gurneyi subclavata	Davis. 1936. Studies in Australian Embioptera. Part I. Systematics. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. N.S.W.) 61:229-253, 7 figs.	subspecies	Davis, 1936	valid			2015-12-02T11:40:00
1172240	1172240	urn:lsid:Embioptera.speciesfile.org:TaxonName:231	1172240	1172233	Oligotoma gurneyi remota	Davis. 1944. Studies in Australian Embioptera. Part VII. New Embioptera from tropical Australia. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. N.S.W.) 69:16-20	subspecies	Davis, 1944	valid			2015-12-02T11:40:00
1172241	1172241	urn:lsid:Embioptera.speciesfile.org:TaxonName:229	1172241	1172224	Oligotoma tillyardi	Davis. 1936. Studies in Australian Embioptera. Part I. Systematics. Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. N.S.W.) 61:229-253, 7 figs.	species	Davis, 1936	valid			2015-12-02T11:40:00
1172242	1172242	urn:lsid:Embioptera.speciesfile.org:TaxonName:228	1172242	1172224	Oligotoma glauerti	Tillyard. 1923. The Embioptera or web-spinners of Western Australia. Journal and Proceedings of the Royal Society of Western Australia (Jour. Proc. Roy. Soc. West. Austral.) 9:61-68	species	Tillyard, 1923	valid			2015-12-02T11:40:00
1172243	1172243	urn:lsid:Embioptera.speciesfile.org:TaxonName:227	1172243	1172224	Oligotoma inaequalis	Banks. 1924. Descriptions of new neuropteroid insects. Bulletin of the Museum of Comparative Zoology (Bull. Mus. Comp. Zool.) 65(12):421-455	species	Banks, 1924	valid			2015-12-02T11:40:00
1172244	1172244	urn:lsid:Embioptera.speciesfile.org:TaxonName:224	1172244	1172224	Oligotoma greeniana	Enderlein. 1912. Embiiden. Catalogue systématique et Descriptif des collections Zoologiques du Baron Edmond de Selys Longchamp (Collect. Selys Cat.) 3	species	Enderlein, 1912	valid			2015-12-02T11:40:00
1172245	1172245	urn:lsid:Embioptera.speciesfile.org:TaxonName:225	1172244	1172224	Oligotoma signata	Kapur & Kripalani. 1957. Studies in Indian Embioptera. Part I-The Oligotomidae of India. Transactions of the Royal Enteomological Society of London (Trans. R. Ent. Soc. London) 109(3):111-134	species	Kapur & Kripalani, 1957	junior synonym			2015-12-02T11:40:00
1172246	1172246	urn:lsid:Embioptera.speciesfile.org:TaxonName:223	1172246	1172224	Oligotoma davisi	Ross. 1948. The Embioptera of New Guinea. Pan-Pacific Entomologist (Pan-Pacific Ent.) 24:97-116	species	Ross, 1948	valid			2015-12-02T11:40:00
1172247	1172247	urn:lsid:Embioptera.speciesfile.org:TaxonName:222	1172247	1172224	Oligotoma brunnea	Ross. 1948. The Embioptera of New Guinea. Pan-Pacific Entomologist (Pan-Pacific Ent.) 24:97-116	species	Ross, 1948	valid			2015-12-02T11:40:00
