uid	|	parent_uid	|	name	|	rank	|	
01b35786-cb01-412e-a999-89fe909a7562	|	3423705f-f63a-41c4-8cb4-91dae9928b24	|	Carcharhinidae	|	family	|	
01ba48fd-b2ba-43d7-8437-7c7463148063	|	24345582-aff4-416b-b147-e6f786c25785	|	Dictyoceratida	|	order	|	
01bb7d35-4852-4984-a399-1378f0bab442	|	26fa89c6-9e1a-41af-b070-77edf20e0716	|	Aphnaeinae	|	subfamily	|	
01bce611-79fa-43b9-81c6-1272009eeade	|	275f6d02-d432-4b7c-a5d7-8064aed247ff	|	Rhizophoraceae	|	family	|	
01bf6a9d-66db-42d9-b649-04a6070cfa71	|	a9d01fc4-6802-4865-bc06-c4f36f593316	|	Strongylida	|	suborder	|	
01c3b4a0-34ee-4afb-8246-25146ddc0373	|	1b0513a8-1e87-4107-9fa0-2de62b8310e8	|	Colotrechninae	|	subfamily	|	
01ca4fe4-d6f6-41b6-a058-0cfe2794360d	|	a22b2812-faef-4584-9b8e-659890bf3229	|	Ascarididae	|	family	|	
01cb51da-40ba-4b2b-926e-2bea496f0fdb	|	29d4c648-3c9f-4cfa-85f0-20da7b2d3e17	|	Mucroplanidae	|	family	|	
01cd5d93-d1da-4c16-9031-66042862cdcc	|	7feb5b99-8e14-4d18-abdd-b45b63e42747	|	Plumatellidae	|	family	|	
01d0e557-9b41-4406-a6a0-929ffad11b70	|	70c77678-646c-4e2b-844f-99498de01250	|	Aepophilidae	|	family	|	
01d197c9-36c3-4ce4-95d5-b2eecb2e75a2	|	0f1ac98d-8b0a-4843-8ecd-653e72c3ef78	|	Parcubacteria	|	phylum	|	
01d205cb-deb8-4aa2-b972-209fc1207c0f	|	112927c6-ea2d-406f-9945-da25efc78994	|	Eutriconodonta	|	order	|	
01d3d83a-7644-4003-8a6b-a0408f0b678b	|	c1d634e2-be46-4561-b53b-2f267c335852	|	Carpoglyphidae	|	family	|	
01d6ec6e-5398-4925-855f-5df7133fa54b	|	1528c04d-887c-4091-94e5-0fa1c1abeb11	|	Gymnodiniaceae	|	family	|	
01d70376-40d2-4334-aaec-64321c35d639	|	aa92ecb2-aa64-468e-b70d-c35aaab037ce	|	Siparunaceae	|	family	|	
01d97282-fe50-4b36-84df-51fcdde52267	|	115e177e-54eb-4190-9164-9a29188140ef	|	Exosomites	|	no rank	|	
01de623f-79e2-40d4-9b2b-bc228d27bb9a	|	0912377b-2200-436f-ae58-5985c9682dd8	|	Vannellida	|	order	|	
01e41f69-4e8d-422e-b017-c2773de9be41	|	62a37924-3a4b-47c5-b30b-38dd23e6428c	|	Astrophorina	|	suborder	|	
01e5500d-2f69-403e-9262-3a1ce8bb6285	|	1724b21b-a2c4-43ee-99e7-b559a5f32ce6	|	Hoplonemertea	|	subclass	|	
01efa84b-b3e0-41ba-93b3-cdadf2b086cd	|	1856b322-b845-40a0-a69b-1630784fd719	|	Aquamycetaceae	|	family	|	
01f0f234-29ea-444e-8731-7436669665f2	|	d86e684a-0cf3-450c-adbb-424058403f03	|	Plectorhynchellidae	|	family	|	
01f6b65e-839b-4e88-a810-be41dbb90999	|	b6062dfd-8cc9-4101-8180-8bf78b1457fd	|	Dacrytheriidae	|	family	|	
01fdaf60-f836-45cf-be60-18998e523720	|	5ab377d1-e407-49a5-bfc5-8b42d11cf1ef	|	Talitrida	|	infraorder	|	
02000006-5ddb-417d-860a-0c08f4e5e97d	|	ce193cf9-9e29-42cf-8065-c1fb842da928	|	Diapherotrites	|	phylum	|	
02019ec2-4f44-44be-9da1-0d4074ff9667	|	097a79b8-1db5-4e3f-9851-335d06f5b6b1	|	Olenidae	|	family	|	
0201cbd4-67ed-4e43-863c-53f16e56648f	|	e8de5416-9756-4d13-abdd-8a32bbe64542	|	Woodsiaceae	|	family	|	
0201e5b4-56da-4104-8406-ed7d77e2dc63	|	ade2f7ad-93d0-43e5-9234-2c532a434d6c	|	Dayongaspidae	|	family	|	
02030dcf-1f9b-47bc-b938-ba8f50e2c12b	|	b70021b3-5e9d-4ba0-8543-1d43c1bd5a80	|	Solibacteres	|	class	|	
02041f7f-eb71-43cf-a253-fad7e39b68bf	|	dd16f7de-d258-481c-9b0b-f66daac7cb72	|	Stratiomyoidea	|	superfamily	|	
02059f2f-e3bb-4396-a545-b48ca69cdef2	|	a50f16ae-70da-47f6-985d-121558743fb6	|	Cheylabididae	|	family	|	
02081381-ea9b-4872-b217-734b47e82746	|	b1ee4bc2-0a11-4a08-962c-c10cef6c200f	|	Parakseneuridae	|	family	|	
0209c4fc-c0c0-42fe-9c1e-6b6cfc96cef3	|	fa903a14-62d8-433d-9009-4f80a7db90dc	|	Corallochytrea	|	clade	|	
020bb3aa-cec0-48f5-b78b-d0e7154f7429	|	b96b638c-4db1-4107-8103-c3406e894b71	|	Hrabeiellidae	|	family	|	
020c30fb-5abb-451f-b6db-090435c498a5	|	ebdbae25-05bf-4c28-9433-38901d20eef3	|	Girtyocoeliidae	|	family	|	
