log.tsv|version1
source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Tyto nigrobrunnea	IOC:cd9a63a50d19f298723403aa5513a987	=>	Tyto nigrobrunnea	IOC:cd9a63a50d19f298723403aa5513a987	-824501	new/import	null
Trabeculus	PSO:1224579	=>	Trabeculus	PSO:1224579	-600521	new/import	null
Trabeculus	WOR:384820	-		null	-	promoted/internal	Philopteridae
		-	Trabeculus	PSO:1224579	-600521	move to parent of former container, instead of to container	null
Sergia	TPL:T15190	=>	Sergia	TPL:T15190	-417326	new/import	null
Sergia	WOR:106830	=>	Sergia	TPL:T15190	-417326	lumped	null
Archaeogryllotalpoides	ORTH:1128744	=>	Archaeogryllotalpoides	ORTH:1128744	-677326	new/import	null
Anisoptera	trunk:0559c4eb-c019-432c-ab9a-2dc07ce8dd35	=>	Anisoptera	trunk:0559c4eb-c019-432c-ab9a-2dc07ce8dd35	-329367	new/import	null
Anisoptera	TPL:T1654	not=>	Anisoptera	trunk:0559c4eb-c019-432c-ab9a-2dc07ce8dd35	-329367	not-same/ranks	genus|suborder
Anisoptera	TPL:T1654	=>	Anisoptera	TPL:T1654	-393596	new/import	null
Anisoptera	WOR:890522	not=>	Anisoptera	TPL:T1654	-393596	not-same/ranks	suborder|genus
Anisoptera	WOR:890522	=>	Anisoptera	trunk:0559c4eb-c019-432c-ab9a-2dc07ce8dd35	-329367	same/parent+parent	Odonata|Odonata
Acidilobaceae	trunk:5e042cf4-a107-47f7-87b9-4c0783300074	=>	Acidilobaceae	trunk:5e042cf4-a107-47f7-87b9-4c0783300074	-12478	new/import	null
Acidilobaceae	WOR:573325	=>	Acidilobaceae	trunk:5e042cf4-a107-47f7-87b9-4c0783300074	-12478	same/parent+parent	Acidilobales|Acidilobales
Stenocoris (Pseudoleptocorisa) erraticus	COR:1186591	=>	Stenocoris (Pseudoleptocorisa) erraticus	COR:1186591	-723772	new/import	null
Metataxis bare	EET:EOL-Earthworm-Patch-1904	=>	Metataxis bare	EET:EOL-Earthworm-Patch-1904	-181782	new/import	null
Zorotypus (Zorotypus) cramptoni	ZOR:1218749	=>	Zorotypus (Zorotypus) cramptoni	ZOR:1218749	-626393	new/import	null
Hydatica petiolaris	TPL:tro-29101122	=>	Hydatica petiolaris	TPL:tro-29101122	-396362	new/import	null
Caldisphaeraceae	trunk:45c297b1-1d71-404c-b0e4-4963f03ae076	=>	Caldisphaeraceae	trunk:45c297b1-1d71-404c-b0e4-4963f03ae076	-12479	new/import	null
Metoligotoma reducta subtropica	EMB:1171929	=>	Metoligotoma reducta subtropica	EMB:1171929	-626085	new/import	null
Ekmania	TPL:T6140	=>	Ekmania	TPL:T6140	-782767	new/import	null
Ekmania	WOR:123496	-		null	-	not-placed/does-not-descend	null
Myodochini	LYG:1215251	-		null	-	sibling-sink mismatch	null
Myodochini	LYG:1215251	=>	Myodochini	LYG:1215251	-628337	reject/absorbed	null
Delaya leruthi	EET:EOL-Earthworm-Patch-1871	=>	Delaya leruthi	EET:EOL-Earthworm-Patch-1871	-181779	new/import	null
Coreinae	COR:1187113	=>	Coreinae	COR:1187113	-651107	new/refinement	null
Nilomantis floweri	MNT:1183071	=>	Nilomantis floweri	MNT:1183071	-642388	new/import	null
Bradburia	TPL:T2899	=>	Bradburia	TPL:T2899	-782307	new/import	null
Bradburia	WOR:479544	-		null	-	not-placed/does-not-descend	null
Scapteriscus headsi	ORTH:1128777	=>	Scapteriscus headsi	ORTH:1128777	-712015	new/import	null
Fusulinida	WOR:592502	=>	Fusulinida	WOR:592502	-16980	reject/absorbed	null
Fusulinida	WOR:592502	-		null	-	not-placed/same-taxon	null
Guembelina midwayensis	WOR:911020	=>	Guembelina midwayensis	WOR:911020	-27	new/import	null
Tyto tenebricosa tenebricosa	IOC:a8344f0e551e2567b387f703108fbd23	=>	Tyto tenebricosa tenebricosa	IOC:a8344f0e551e2567b387f703108fbd23	-830178	new/import	null
Digenea	WOR:108400	=>	Digenea	WOR:108400	-180672	new/refinement	null
		-	Digenea	WOR:108400	-180672	rank inversion	null
Digenea	WOR:143909	=>	Digenea	WOR:143909	-27602	new/import	null
Lunaceps	PSO:1224431	=>	Lunaceps	PSO:1224431	-600519	new/import	null
Lunaceps	WOR:384807	-		null	-	promoted/internal	Philopteridae
		-	Lunaceps	PSO:1224431	-600519	move to parent of former container, instead of to container	null
Brachylaimoidea	WOR:468885	=>	Brachylaimoidea	WOR:468885	-335694	reject/inconsistent	null
Timema cristinae	PHA:1203886	=>	Timema cristinae	PHA:1203886	-676876	new/import	null
Hydatica	TPL:T8336	=>	Hydatica	TPL:T8336	-348603	new/import	null
Phyllophoridae	WOR:123188	-		null	-	sibling-sink mismatch	null
Phyllophoridae	WOR:123188	=>	Phyllophoridae	WOR:123188	-65690	reject/absorbed	null
Stuhlmannia	TPL:T15991	=>	Stuhlmannia	TPL:T15991	-752925	new/import	null
Stuhlmannia	EET:EOL-Earthworm-Patch-1633	-		null	-	not-placed/does-not-descend	null
Ensifera	IOC:29879e81d88ca5845ee90290cc7e6e9d	=>	Ensifera	IOC:29879e81d88ca5845ee90290cc7e6e9d	-822084	new/import	null
Ensifera	ORTH:1121518	not=>	Ensifera	IOC:29879e81d88ca5845ee90290cc7e6e9d	-822084	not-same/ranks	suborder|genus
Ensifera	ORTH:1121518	=>	Ensifera	ORTH:1121518	-581717	new/import	null
Philoceanus	PSO:1224514	=>	Philoceanus	PSO:1224514	-600523	new/import	null
Philoceanus	WOR:384816	-		null	-	promoted/internal	Philopteridae
		-	Philoceanus	PSO:1224514	-600523	move to parent of former container, instead of to container	null
Semenoviolidae	DER:1180049	=>	Semenoviolidae	DER:1180049	-598658	new/import	null
Chroicopterinae	MNT:1183633	=>	Chroicopterinae	MNT:1183633	-593004	new/refinement	null
Timema podura	PHA:1203897	=>	Timema podura	PHA:1203897	-676877	new/import	null
Ancaudellia shawi	BLA:1173643	=>	Ancaudellia shawi	BLA:1173643	-620865	new/import	null
Metrodorinae	ORTH:1100864	=>	Metrodorinae	ORTH:1100864	-664008	reject/inconsistent	null
Eurypetalum	TPL:T6636	=>	Eurypetalum	TPL:T6636	-752544	new/import	null
Eurypetalum	WOR:512641	-		null	-	not-placed/does-not-descend	null
Conocephalinae	ORTH:1132630	=>	Conocephalinae	ORTH:1132630	-663861	new/refinement	null
Dipteris	PPG:Pteridophyte-Phylogeny-Group1-92	=>	Dipteris	PPG:Pteridophyte-Phylogeny-Group1-92	-135501	new/import	null
Dipteris	TPL:T5719	=>	Dipteris	PPG:Pteridophyte-Phylogeny-Group1-92	-135501	same/parent+parent	Dipteridaceae|Dipteridaceae
Cladonotinae	ORTH:1100584	=>	Cladonotinae	ORTH:1100584	-664023	new/refinement	null
Kenguronympha lenta	GRY:1220965	=>	Kenguronympha lenta	GRY:1220965	-582043	new/import	null
Stenocoris (Stenocoris) braziliensis	COR:1186562	=>	Stenocoris (Stenocoris) braziliensis	COR:1186562	-723776	new/import	null
Laganiformes	WOR:510558	=>	Laganiformes	WOR:510558	-328637	new/refinement	null
Nematophora	trunk:fcef29b5-2551-4a8a-9042-213f6275432d	=>	Nematophora	trunk:fcef29b5-2551-4a8a-9042-213f6275432d	-330448	new/import	null
Nematophora	WOR:369931	not=>	Nematophora	trunk:fcef29b5-2551-4a8a-9042-213f6275432d	-330448	not-same/ranks	genus|superorder
Nematophora	WOR:888574	=>	Nematophora	trunk:fcef29b5-2551-4a8a-9042-213f6275432d	-330448	same/parent+parent	Eugnatha|Eugnatha
Nematophora	WOR:369931	=>	Nematophora	WOR:369931	-27684	new/import	null
Stenocoris (Stenocoris) sordidus	COR:1186575	=>	Stenocoris (Stenocoris) sordidus	COR:1186575	-723775	new/import	null
Mesonotoperla	PLE:1152781	=>	Mesonotoperla	PLE:1152781	-419211	new/import	null
Micrelytrini	COR:1186592	-		null	-	sibling-sink mismatch	null
Micrelytrini	COR:1186592	=>	Micrelytrini	COR:1186592	-670375	reject/absorbed	null
Holasteridae	WOR:510770	-		null	-	sibling-sink mismatch	null
Holasteridae	WOR:510770	=>	Holasteridae	WOR:510770	-328712	reject/absorbed	null
Thermotogae	trunk:fab35211-fa6e-4832-bd30-a0a0585fc919	=>	Thermotogae	trunk:fab35211-fa6e-4832-bd30-a0a0585fc919	-10774	new/import	null
Thermotogae	trunk:70fa171d-45d9-4670-a528-9e832b1198d5	=>	Thermotogae	trunk:70fa171d-45d9-4670-a528-9e832b1198d5	-10391	new/import	null
Thermotogae	WOR:414722	-	Thermotogae	trunk:70fa171d-45d9-4670-a528-9e832b1198d5	-10391	noinfo	null
Thermotogae	WOR:414722	-	Thermotogae	trunk:fab35211-fa6e-4832-bd30-a0a0585fc919	-10774	noinfo	null
Thermotogae	WOR:414722	-		null	-	ambiguous internal	2
Thermotogae	WOR:414721	-	Thermotogae	trunk:70fa171d-45d9-4670-a528-9e832b1198d5	-10391	noinfo	null
Thermotogae	WOR:414721	-	Thermotogae	trunk:fab35211-fa6e-4832-bd30-a0a0585fc919	-10774	noinfo	null
Thermotogae	WOR:414721	-		null	-	ambiguous internal	2
Thermotogae	WOR:414722	=>	Thermotogae	WOR:414722	-11507	reject/absorbed	null
Thermotogae	WOR:414721	=>	Thermotogae	WOR:414721	-11508	reject/absorbed	null
		-	Thermotogae	WOR:414721	-11508	rank inversion	null
Pyragrinae	DER:1181775	-		null	-	sibling-sink mismatch	null
Pyragrinae	DER:1181775	=>	Pyragrinae	DER:1181775	-645798	reject/absorbed	null
Copiphorini	ORTH:1133737	-		null	-	sibling-sink mismatch	null
Copiphorini	ORTH:1133737	=>	Copiphorini	ORTH:1133737	-677848	reject/absorbed	null
Sticherus	PPG:Pteridophyte-Phylogeny-Group1-98	=>	Sticherus	PPG:Pteridophyte-Phylogeny-Group1-98	-135496	new/import	null
Sticherus	TPL:T15866	=>	Sticherus	PPG:Pteridophyte-Phylogeny-Group1-98	-135496	same/parent+parent	Gleicheniaceae|Gleicheniaceae
Phyllacanthina	WOR:510913	-		null	-	sibling-sink mismatch	null
Phyllacanthina	WOR:510913	=>	Phyllacanthina	WOR:510913	-214578	reject/absorbed	null
Batrachideinae	ORTH:1100428	-		null	-	sibling-sink mismatch	null
Batrachideinae	ORTH:1100428	=>	Batrachideinae	ORTH:1100428	-664009	reject/absorbed	null
Awightipsocus minimus	PSO:1222968	=>	Awightipsocus minimus	PSO:1222968	-584081	new/import	null
Kargarella subcostalis	GRY:1221110	=>	Kargarella subcostalis	GRY:1221110	-582042	new/import	null
Ctenophora	trunk:bb9c27c1-fb0b-4367-9c18-3324d598f123	=>	Ctenophora	trunk:bb9c27c1-fb0b-4367-9c18-3324d598f123	-12199	new/import	null
Ctenophora	WOR:956065	not=>	Ctenophora	trunk:bb9c27c1-fb0b-4367-9c18-3324d598f123	-12199	not-same/ranks	genus|phylum
Ctenophora	WOR:956054	not=>	Ctenophora	trunk:bb9c27c1-fb0b-4367-9c18-3324d598f123	-12199	not-same/ranks	genus|phylum
Ctenophora	WOR:1248	=>	Ctenophora	trunk:bb9c27c1-fb0b-4367-9c18-3324d598f123	-12199	same/primary-name	Ctenophora
Ctenophora	WOR:956065	=>	Ctenophora	WOR:956065	-23407	new/import	null
Ctenophora	WOR:956054	=>	Ctenophora	WOR:956054	-32512	new/import	null
Timema morongensis	PHA:1203893	=>	Timema morongensis	PHA:1203893	-676879	new/import	null
Turanodermatidae	DER:1179462	=>	Turanodermatidae	DER:1179462	-598657	new/import	null
Timema landelsensis	PHA:1203891	=>	Timema landelsensis	PHA:1203891	-676874	new/import	null
Zorotypus (Zorotypus) huxleyi	ZOR:1218754	=>	Zorotypus (Zorotypus) huxleyi	ZOR:1218754	-626390	new/import	null
Schistosomatoidea	WOR:108419	=>	Schistosomatoidea	WOR:108419	-335690	reject/inconsistent	null
Zorotypus (Zorotypus) congensis	ZOR:1218747	=>	Zorotypus (Zorotypus) congensis	ZOR:1218747	-626389	new/import	null
Rotulidae	WOR:510563	-		null	-	sibling-sink mismatch	null
Rotulidae	WOR:510563	=>	Rotulidae	WOR:510563	-382494	reject/absorbed	null
Hemiowoodwardia wilsoni	COL:1171584	=>	Hemiowoodwardia wilsoni	COL:1171584	-651299	new/import	null
Gemmatimonadetes	trunk:2bad50de-087a-4e34-9bf5-b645349a401e	=>	Gemmatimonadetes	trunk:2bad50de-087a-4e34-9bf5-b645349a401e	-10749	new/import	null
Gemmatimonadetes	trunk:5cb4155e-24c4-4fd6-a855-fe655e89dff0	=>	Gemmatimonadetes	trunk:5cb4155e-24c4-4fd6-a855-fe655e89dff0	-10376	new/import	null
Gemmatimonadetes	WOR:571299	-	Gemmatimonadetes	trunk:2bad50de-087a-4e34-9bf5-b645349a401e	-10749	noinfo	null
Gemmatimonadetes	WOR:571299	-	Gemmatimonadetes	trunk:5cb4155e-24c4-4fd6-a855-fe655e89dff0	-10376	noinfo	null
Gemmatimonadetes	WOR:571299	-		null	-	ambiguous internal	2
Gemmatimonadetes	WOR:571298	-	Gemmatimonadetes	trunk:2bad50de-087a-4e34-9bf5-b645349a401e	-10749	noinfo	null
Gemmatimonadetes	WOR:571298	-	Gemmatimonadetes	trunk:5cb4155e-24c4-4fd6-a855-fe655e89dff0	-10376	noinfo	null
Gemmatimonadetes	WOR:571298	-		null	-	ambiguous internal	2
Gemmatimonadetes	WOR:571299	=>	Gemmatimonadetes	WOR:571299	-11471	reject/absorbed	null
Gemmatimonadetes	WOR:571298	=>	Gemmatimonadetes	WOR:571298	-11472	reject/absorbed	null
		-	Gemmatimonadetes	WOR:571298	-11472	rank inversion	null
Grylloblattina	GRY:1220119	=>	Grylloblattina	GRY:1220119	-581875	new/import	null
Grylloblattina	GRY:1219995	-		null	-	sibling-sink mismatch	null
Grylloblattina	GRY:1219995	=>	Grylloblattina	GRY:1219995	-419171	reject/absorbed	null
Plinthisus (Dasythisus) lativentris	LYG:1212417	=>	Plinthisus (Dasythisus) lativentris	LYG:1212417	-701943	new/import	null
Acidobacteria	trunk:ab1d8d21-01c4-4126-b639-8d576bb7ea08	=>	Acidobacteria	trunk:ab1d8d21-01c4-4126-b639-8d576bb7ea08	-10746	new/import	null
Acidobacteria	trunk:1043a7b7-a135-4d26-9b6a-20c79fd01a57	=>	Acidobacteria	trunk:1043a7b7-a135-4d26-9b6a-20c79fd01a57	-10375	new/import	null
Acidobacteria	WOR:571177	-	Acidobacteria	trunk:1043a7b7-a135-4d26-9b6a-20c79fd01a57	-10375	noinfo	null
Acidobacteria	WOR:571177	-	Acidobacteria	trunk:ab1d8d21-01c4-4126-b639-8d576bb7ea08	-10746	noinfo	null
Acidobacteria	WOR:571177	-		null	-	ambiguous internal	2
Acidobacteria	WOR:564402	=>	Acidobacteria	trunk:ab1d8d21-01c4-4126-b639-8d576bb7ea08	-10746	same/overlaps	Acidobacteriaceae|Acanthopleuribacteraceae
Acidobacteria	WOR:564402	=>	Acidobacteria	trunk:1043a7b7-a135-4d26-9b6a-20c79fd01a57	-10375	same/is-subsumed-by	null
Acidobacteria	WOR:571177	=>	Acidobacteria	WOR:571177	-11466	reject/absorbed	null
Rhyparochrominae	LYG:1212523	=>	Rhyparochrominae	LYG:1212523	-650827	reject/inconsistent	null
Ancaudellia depilis	BLA:1173630	=>	Ancaudellia depilis	BLA:1173630	-620867	new/import	null
Delaya corbarensis	EET:EOL-Earthworm-Patch-1870	=>	Delaya corbarensis	EET:EOL-Earthworm-Patch-1870	-181778	new/import	null
Metoligotoma pentanesiana	EMB:1171904	=>	Metoligotoma pentanesiana	EMB:1171904	-598342	new/import	null
Delaya cantabronensis	EET:EOL-Earthworm-Patch-1869	=>	Delaya cantabronensis	EET:EOL-Earthworm-Patch-1869	-181775	new/import	null
Pseudophyllinae	ORTH:1139643	=>	Pseudophyllinae	ORTH:1139643	-663864	new/refinement	null
Dipteridaceae	PPG:Pteridophyte-Phylogeny-Group1-90	=>	Dipteridaceae	PPG:Pteridophyte-Phylogeny-Group1-90	-85362	new/import	null
Dipteridaceae	TPL:T464	=>	Dipteridaceae	PPG:Pteridophyte-Phylogeny-Group1-90	-85362	same/is-subsumed-by	null
Paracanthomorphacea	trunk:9c78b12e-7c74-48b3-b305-7359ccf954c9	=>	Paracanthomorphacea	trunk:9c78b12e-7c74-48b3-b305-7359ccf954c9	-660584	new/import	null
		-	Paracanthomorphacea	trunk:9c78b12e-7c74-48b3-b305-7359ccf954c9	-660584	rank inversion	null
Phyllacantha	trunk:38fae62d-e067-4582-8184-737671069053	=>	Phyllacantha	trunk:38fae62d-e067-4582-8184-737671069053	-25630	new/import	null
Phyllacantha	WOR:370036	not=>	Phyllacantha	trunk:38fae62d-e067-4582-8184-737671069053	-25630	not-same/ranks	genus|suborder
Phyllacantha	WOR:367303	=>	Phyllacantha	trunk:38fae62d-e067-4582-8184-737671069053	-25630	same/parent+parent	Arthracanthida|Arthracanthida
Phyllacantha	WOR:370036	=>	Phyllacantha	WOR:370036	-12044	new/import	null
Timema shepardi	PHA:1203900	=>	Timema shepardi	PHA:1203900	-676881	new/import	null
Epaphrodita	MNT:1182655	=>	Epaphrodita	MNT:1182655	-580615	new/import	null
Naubates	PSO:1224453	=>	Naubates	PSO:1224453	-600526	new/import	null
Naubates	WOR:384808	-		null	-	promoted/internal	Philopteridae
		-	Naubates	PSO:1224453	-600526	move to parent of former container, instead of to container	null
Hemiodoecus	COL:1171579	=>	Hemiodoecus	COL:1171579	-628575	new/import	null
Plinthisus (Dasythisus)	LYG:1212412	=>	Plinthisus (Dasythisus)	LYG:1212412	-684286	new/import	null
Plinthisus (Dasythisus) vestitus	LYG:1212262	=>	Plinthisus (Dasythisus) vestitus	LYG:1212262	-701939	new/import	null
Liturgusinae	MNT:1183081	=>	Liturgusinae	MNT:1183081	-592979	new/refinement	null
Lygaeidae	LYG:1209918	=>	Lygaeidae	LYG:1209918	-628433	new/refinement	null
Lygaeidae	WOR:151137	=>	Lygaeidae	LYG:1209918	-628433	same/parent+parent	Heteroptera|Heteroptera
Turanoderma	DER:1179464	=>	Turanoderma	DER:1179464	-626215	new/import	null
Mertensiidae	WOR:106323	=>	Mertensiidae	WOR:106323	-26263	reject/inconsistent	null
Heterochaetella glandularis	EET:EOL-Earthworm-Patch-1899	=>	Heterochaetella glandularis	EET:EOL-Earthworm-Patch-1899	-181780	new/import	null
Heterochaetella glandularis	EET:EOL-Earthworm-Patch-3566	=>	Heterochaetella glandularis	EET:EOL-Earthworm-Patch-3566	-234099	new/import	null
Cratotetraspinus fossorius	ORTH:1128750	=>	Cratotetraspinus fossorius	ORTH:1128750	-692252	new/import	null
Guembelina midwayensis nammalensis	WOR:929771	=>	Guembelina midwayensis nammalensis	WOR:929771	-7581	new/import	null
Tellima glabra	TPL:tro-50310656	=>	Tellima glabra	TPL:tro-50310656	-396366	new/import	null
Metataxis eliae	EET:EOL-Earthworm-Patch-1907	=>	Metataxis eliae	EET:EOL-Earthworm-Patch-1907	-181781	new/import	null
Metataxis brinkhursti	EET:EOL-Earthworm-Patch-1905	=>	Metataxis brinkhursti	EET:EOL-Earthworm-Patch-1905	-181783	new/import	null
Aspidogastrioidea	WOR:468878	=>	Aspidogastrioidea	WOR:468878	-335483	reject/inconsistent	null
Tellima tenella	TPL:tro-50308668	=>	Tellima tenella	TPL:tro-50308668	-396365	new/import	null
Actiniidae	WOR:100653	=>	Actiniidae	WOR:100653	-415726	reject/inconsistent	null
Mammalia	trunk:bfa972eb-53d1-4768-a4c3-a587459659ef	=>	Mammalia	trunk:bfa972eb-53d1-4768-a4c3-a587459659ef	-580003	new/import	null
		-	Mammalia	trunk:bfa972eb-53d1-4768-a4c3-a587459659ef	-580003	rank inversion	null
Mammalia	WOR:1837	=>	Mammalia	trunk:bfa972eb-53d1-4768-a4c3-a587459659ef	-580003	same/parent+parent	Tetrapoda|Tetrapoda
Lobata	WOR:1258	=>	Lobata	WOR:1258	-20335	new/refinement	null
Bosbequius	LYG:1214151	=>	Bosbequius	LYG:1214151	-669613	new/import	null
Epaphrodita undulata	MNT:1182658	=>	Epaphrodita undulata	MNT:1182658	-592957	new/import	null
Dicliptera	trunk:41012c56-e40a-469e-9003-0f9a34f4f16f	=>	Dicliptera	trunk:41012c56-e40a-469e-9003-0f9a34f4f16f	-383873	new/import	null
Dicliptera	TPL:T5479	not=>	Dicliptera	trunk:41012c56-e40a-469e-9003-0f9a34f4f16f	-383873	not-same/ranks	genus|order
Dicliptera	TPL:T5479	=>	Dicliptera	TPL:T5479	-414805	new/import	null
Saxifragella bicuspidata	TPL:tro-29100825	=>	Saxifragella bicuspidata	TPL:tro-29100825	-396363	new/import	null
Raptophasma kerneggeri	MAN:1220600	=>	Raptophasma kerneggeri	MAN:1220600	-620508	new/import	null
Faujasia	TPL:T6753	=>	Faujasia	TPL:T6753	-783097	new/import	null
Faujasia	WOR:512642	-		null	-	not-placed/does-not-descend	null
Loveniidae	WOR:123175	-		null	-	sibling-sink mismatch	null
Loveniidae	WOR:123175	=>	Loveniidae	WOR:123175	-382611	reject/absorbed	null
Rhyparochromidae	LYG:1212214	=>	Rhyparochromidae	LYG:1212214	-628423	new/refinement	null
Periplaneta granulata	BLA:1179273	=>	Periplaneta granulata	BLA:1179273	-580839	new/import	null
Gonorynchiformes	trunk:a49142da-8515-4f4c-a272-64a429ca6c82	=>	Gonorynchiformes	trunk:a49142da-8515-4f4c-a272-64a429ca6c82	-620479	new/import	null
		-	Gonorynchiformes	trunk:a49142da-8515-4f4c-a272-64a429ca6c82	-620479	rank inversion	null
Limnotyphloplanida	WOR:853129	=>	Limnotyphloplanida	WOR:853129	-230549	reject/inconsistent	null
Nanoarchaeota	trunk:b4356493-8818-40da-b0fa-137bb079d9dc	=>	Nanoarchaeota	trunk:b4356493-8818-40da-b0fa-137bb079d9dc	-10367	new/import	null
Telesonix heucheriformis	TPL:tro-29101040	=>	Telesonix heucheriformis	TPL:tro-29101040	-396359	new/import	null
Plinthisus (Dasythisus) bembidioides	LYG:1212413	=>	Plinthisus (Dasythisus) bembidioides	LYG:1212413	-701942	new/import	null
Raptophasmatinae	MAN:1220577	=>	Raptophasmatinae	MAN:1220577	-580553	new/import	null
Ancaudellia pygmaea	BLA:1173639	=>	Ancaudellia pygmaea	BLA:1173639	-620862	new/import	null
Matonia	PPG:Pteridophyte-Phylogeny-Group1-88	=>	Matonia	PPG:Pteridophyte-Phylogeny-Group1-88	-135504	new/import	null
Stenocoris (Stenocoris) tipuloides	COR:1186563	=>	Stenocoris (Stenocoris) tipuloides	COR:1186563	-723773	new/import	null
Zorotypus (Octozoros) hudae	ZOR:1220647	=>	Zorotypus (Octozoros) hudae	ZOR:1220647	-626386	new/import	null
Tanzaniophasmatinae	MAN:1220575	=>	Tanzaniophasmatinae	MAN:1220575	-580552	new/import	null
Adicophasma spinosa	MAN:1220586	=>	Adicophasma spinosa	MAN:1220586	-592726	new/import	null
Tarachodinae	MNT:1185170	=>	Tarachodinae	MNT:1185170	-592970	new/refinement	null
Securigera	TPL:T15117	=>	Securigera	TPL:T15117	-752797	new/import	null
Securigera	ORTH:1116224	-		null	-	not-placed/does-not-descend	null
Asteropsis	TPL:T2134	=>	Asteropsis	TPL:T2134	-781995	new/import	null
Asteropsis	WOR:203861	-		null	-	not-placed/does-not-descend	null
Ocnerodrilinae	EET:EOL-Earthworm-Patch-5081	-		null	-	sibling-sink mismatch	null
Ocnerodrilinae	EET:EOL-Earthworm-Patch-5081	=>	Ocnerodrilinae	EET:EOL-Earthworm-Patch-5081	-181580	reject/absorbed	null
Temnopleuridea	WOR:510536	=>	Temnopleuridea	WOR:510536	-214448	new/refinement	null
Polymixiacea	trunk:6805a7b7-7adb-4d13-90da-a5508b70d6b6	=>	Polymixiacea	trunk:6805a7b7-7adb-4d13-90da-a5508b70d6b6	-660582	new/import	null
		-	Polymixiacea	trunk:6805a7b7-7adb-4d13-90da-a5508b70d6b6	-660582	rank inversion	null
Tyto tenebricosa arfaki	IOC:d6e80476a94cd1bd1e3a533b04d56295	=>	Tyto tenebricosa arfaki	IOC:d6e80476a94cd1bd1e3a533b04d56295	-830177	new/import	null
Adicophasma grylloblattoides	MAN:1220587	=>	Adicophasma grylloblattoides	MAN:1220587	-592727	new/import	null
Carex arenaria	TPL:kew-224609	=>	Carex arenaria	TPL:kew-224609	-356574	new/import	null
Carex arenaria	TPL:kew-224611	=>	Carex arenaria	TPL:kew-224611	-357910	new/import	null
Carex arenaria	WOR:438828	-	Carex arenaria	TPL:kew-224609	-356574	noinfo	null
Carex arenaria	WOR:438828	-	Carex arenaria	TPL:kew-224611	-357910	noinfo	null
Carex arenaria	WOR:438828	-		null	-	ambiguous tip	2
Semenovioloides capitatus	DER:1181930	=>	Semenovioloides capitatus	DER:1181930	-645734	new/import	null
Hemiodoecus acutus	COL:1171580	=>	Hemiodoecus acutus	COL:1171580	-651295	new/import	null
Pygidicranidae	DER:1181774	=>	Pygidicranidae	DER:1181774	-626236	new/refinement	null
Arbusculina	ORTH:1120996	-		null	-	sibling-sink mismatch	null
Arbusculina	ORTH:1120996	=>	Arbusculina	ORTH:1120996	-696723	reject/absorbed	null
Blaberoidea	BLA:1172574	=>	Blaberoidea	BLA:1172574	-580836	reject/absorbed	null
Gleichenia	PPG:Pteridophyte-Phylogeny-Group1-97	=>	Gleichenia	PPG:Pteridophyte-Phylogeny-Group1-97	-135494	new/import	null
Gleichenia	TPL:T7188	=>	Gleichenia	PPG:Pteridophyte-Phylogeny-Group1-97	-135494	same/parent+parent	Gleicheniaceae|Gleicheniaceae
Creaphis	APH:1159070	=>	Creaphis	APH:1159070	-670501	new/import	null
Chroicopterini	MNT:1183634	-		null	-	sibling-sink mismatch	null
Chroicopterini	MNT:1183634	=>	Chroicopterini	MNT:1183634	-620780	reject/absorbed	null
