uid	|	name	|	type	|	rank	|	
1182950	|	Fulcinea	|	synonym	|		|	
1182950	|	Oxyfulcinia	|	synonym	|		|	
1182950	|	Papupopa	|	synonym	|		|	
1182963	|	Fulciniella viduus	|	synonym	|		|	
1182963	|	Fulciniella minor	|	synonym	|		|	
1182961	|	Diafulcinia	|	synonym	|		|	
1182969	|	Fulciniola variipennis	|	synonym	|		|	
1182985	|	Gyrothespis	|	synonym	|		|	
1182985	|	Profulcinia	|	synonym	|		|	
1183008	|	Hyalomantis punctata	|	synonym	|		|	
1183021	|	Miromantis miranda	|	synonym	|		|	
1183019	|	Ormomantis	|	synonym	|		|	
1183026	|	Luteomantis	|	synonym	|		|	
1183038	|	Ichromantis	|	synonym	|		|	
1183049	|	Tropidomantis (Tropidomantis) perla	|	synonym	|		|	
1183055	|	Oligocanthopus	|	synonym	|		|	
1183055	|	Pliacanthopus	|	synonym	|		|	
1183055	|	Polyacanthopus	|	synonym	|		|	
1183071	|	Nilomantis arabica	|	synonym	|		|	
1183071	|	Nilomantis tenella	|	synonym	|		|	
1183069	|	Cryptomantis	|	synonym	|		|	
1183084	|	Ciulfina brevis	|	synonym	|		|	
1183091	|	Dactylopteryx angusticollis	|	synonym	|		|	
1183090	|	Phloeomantis	|	synonym	|		|	
1183100	|	Gonatista bifasciata	|	synonym	|		|	
1183100	|	Gonatista cubensis	|	synonym	|		|	
1183108	|	Hagiomantis lutescens	|	synonym	|		|	
1183134	|	Fuga parva	|	synonym	|		|	
1183119	|	Humbertiella septentrionum	|	synonym	|		|	
1183125	|	Humbertiella disparilis	|	synonym	|		|	
1183128	|	Humbertiella assimulata	|	synonym	|		|	
1183114	|	Theopompula	|	synonym	|		|	
1183134	|	Fuga parva	|	synonym	|		|	
1183143	|	Liturgusa peruviana	|	synonym	|		|	
1183134	|	Fuga sinvalnetoi	|	synonym	|		|	
1183150	|	Pantelica	|	synonym	|		|	
1183159	|	Mellierella spinicollis	|	synonym	|		|	
1183158	|	Papuspilota	|	synonym	|		|	
1183168	|	Stenomantis novae-guineae	|	synonym	|		|	
1183173	|	Theopompa blanchardi	|	synonym	|		|	
1183173	|	Theopompa cambodiensis	|	synonym	|		|	
1183173	|	Theopompa grisea	|	synonym	|		|	
1183173	|	Theopompa oratoria	|	synonym	|		|	
1183186	|	Theopompella nebulosa	|	synonym	|		|	
1183191	|	Jalla	|	synonym	|		|	
1183191	|	Tosa	|	synonym	|		|	
1183198	|	Auchmomantis	|	synonym	|		|	
1183200	|	Achlaena chrysichroma	|	synonym	|		|	
1183200	|	Achlaena mutica	|	synonym	|		|	
1183200	|	Achlaena rhodii	|	synonym	|		|	
1183205	|	Achlaenella adolphi-frederici	|	synonym	|		|	
1183215	|	Armene pusilla alata	|	synonym	|		|	
1183220	|	Beesoniella	|	synonym	|		|	
1183224	|	Dystacta marmorata	|	synonym	|		|	
1183224	|	Dystacta ornatipennis	|	synonym	|		|	
1183224	|	Dystacta paradoxa	|	synonym	|		|	
1183224	|	Dystacta stali	|	synonym	|		|	
1183261	|	Amantis maculata	|	synonym	|		|	
1183239	|	Cimantis	|	synonym	|		|	
1183285	|	Ameles brevis	|	synonym	|		|	
1183264	|	Parameles	|	synonym	|		|	
1183310	|	Bolbella debilitata	|	synonym	|		|	
1183310	|	Bolbella natalensis	|	synonym	|		|	
1183318	|	Compsomantis crassipes	|	synonym	|		|	
1183316	|	Opsomantis	|	synonym	|		|	
1183330	|	Rogermantis royi	|	synonym	|		|	
1183329	|	Dystactella	|	synonym	|		|	
1183329	|	Rogermantis	|	synonym	|		|	
1183351	|	Elmantis vicina	|	synonym	|		|	
1183353	|	Eumantis	|	synonym	|		|	
1183364	|	Gonypeta humbertiana	|	synonym	|		|	
1183364	|	Gonypeta lateralis	|	synonym	|		|	
1183375	|	Gonypetella ugandensis	|	synonym	|		|	
1183375	|	Gonypetella uvarovi	|	synonym	|		|	
1183383	|	Gonypetella kilimandjarica similis	|	synonym	|		|	
