id	bibliographicCitation	title	creator	date	source	type
1182279	Roy. 2004. Revue Francaise D’Entomologie. 26(1)		Roy	2004	Revue Francaise D’Entomologie.	publication
1182280	Serville. 1831. Annls Sci. nat. 22:47		Serville	1831	Annls Sci. nat.	original
1182280	Burmeister. 1838. Handb. Ent., Burm. 2:547		Burmeister	1838	Handb. Ent., Burm.	publication
1182280	Serville. 1839. Hist. Ins. Orth. 148		Serville	1839	Hist. Ins. Orth.	publication
1182280	Blanchard. 1840. Hist. Anim. artic. 3:10		Blanchard	1840	Hist. Anim. artic.	publication
1182280	Saussure. 1869. Mitt. schweiz. ent. Ges. 3:53		Saussure	1869	Mitt. schweiz. ent. Ges.	publication
1182280	Stal. 1871. Ofvers. K. VetensAkad. Forh. Stockh. 28(3):383		Stal	1871	Ofvers. K. VetensAkad. Forh. Stockh.	publication
1182280	Stal. 1877. Bih. K. svenska VetenskAkad. Handl. 4(10):76		Stal	1877	Bih. K. svenska VetenskAkad. Handl.	publication
1182280	Westwood. 1889. Revis. Mant. 26		Westwood	1889	Revis. Mant.	publication
1182280	Kirby. 1890. Proc. R. Dublin Soc. 6:568		Kirby	1890	Proc. R. Dublin Soc.	publication
1182280	Brunner von Wattenwyl. 1893. Annali Mus. civ. Stor. nat. Genova 13(33):76		Brunner von Wattenwyl	1893	Annali Mus. civ. Stor. nat. Genova	publication
1182280	Finot. 1895. Annls Soc. ent. Fr. 64:109		Finot	1895	Annls Soc. ent. Fr.	publication
1182280	Rehn. 1902. Can. Ent. 34:316		Rehn	1902	Can. Ent.	publication
1182280	Kirby. 1904. Syn. Cat. Orth. 1:315		Kirby	1904	Syn. Cat. Orth.	publication
1182280	Jacobson & Bianki. 1905. Prem. i Lozhn. Ross. Imp. 155		Jacobson & Bianki	1905	Prem. i Lozhn. Ross. Imp.	publication
1182280	Giglio-Tos. 1927. Tierreich 50:644		Giglio-Tos	1927	Tierreich	publication
1182280	Beier. 1934. Genera Insect. 197:7		Beier	1934	Genera Insect.	publication
1182280	Ehrmann. 2002. Mantodea der Welt 79		Ehrmann	2002	Mantodea der Welt	publication
1182281	Fabricius. 1775. Syst. Ent. 2:275		Fabricius	1775	Syst. Ent.	original
1182282	Fabricius. 1775. Syst. Ent. 2:275		Fabricius	1775	Syst. Ent.	original
1182282	Olivier. 1792. Enc. Meth., Ins. 7:627		Olivier	1792	Enc. Meth., Ins.	publication
1182282	Fabricius. 1793. Ent. Syst. 2:17		Fabricius	1793	Ent. Syst.	publication
1182282	Latreille. 1807. Gen. Crust. Ins. 3:90		Latreille	1807	Gen. Crust. Ins.	publication
1182282	Stoll. 1813. Represent. Spectres, Mantes 41		Stoll	1813	Represent. Spectres, Mantes	publication
1182282	Brulle. 1835. Hist. nat. Ins. 4:77		Brulle	1835	Hist. nat. Ins.	publication
1182282	Burmeister. 1838. Handb. Ent., Burm. 2:548		Burmeister	1838	Handb. Ent., Burm.	publication
1182282	Saussure. 1871. Mem. Soc. Hist. nat. Geneve 21:329		Saussure	1871	Mem. Soc. Hist. nat. Geneve	publication
