taxonID	source	parentNameUsageID	scientificName	higherClassification	taxonRank
ICTV:20160445	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160445	ICTV:Fishburnevirus	Mycobacterium virus Jebeks	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Fishburnevirus	species
ICTV:20164965	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164965	ICTV:Fishburnevirus	Mycobacterium virus Malithi	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Fishburnevirus	species
ICTV:20164966	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164966	ICTV:Phayoncevirus	Mycobacterium virus Phayonce	Viruses|Caudovirales|Siphoviridae|Pclasvirinae|Phayoncevirus	species
ICTV:20160402	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160402	ICTV:Kp36virus	Enterobacter virus F20	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20160403	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160403	ICTV:Kp36virus	Klebsiella virus 1513	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20164967	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164967	ICTV:Kp36virus	Klebsiella virus KLPN1	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20160404	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160404	ICTV:Kp36virus	Klebsiella virus KP36	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20164968	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164968	ICTV:Kp36virus	Klebsiella virus PKP126	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20164969	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164969	ICTV:Kp36virus	Klebsiella virus Sushi	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Kp36virus	species
ICTV:20160406	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160406	ICTV:Rogue1virus	Escherichia virus AHP42	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160407	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160407	ICTV:Rogue1virus	Escherichia virus AHS24	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160408	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160408	ICTV:Rogue1virus	Escherichia virus AKS96	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20164970	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164970	ICTV:Rogue1virus	Escherichia virus C119	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160409	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160409	ICTV:Rogue1virus	Escherichia virus E41c	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160410	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160410	ICTV:Rogue1virus	Escherichia virus Eb49	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160411	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160411	ICTV:Rogue1virus	Escherichia virus Jk06	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160412	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160412	ICTV:Rogue1virus	Escherichia virus KP26	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160413	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160413	ICTV:Rogue1virus	Escherichia virus Rogue1	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rogue1virus	species
ICTV:20160415	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160415	ICTV:Rtpvirus	Escherichia virus ACGM12	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rtpvirus	species
ICTV:20160416	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160416	ICTV:Rtpvirus	Escherichia virus Rtp	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Rtpvirus	species
ICTV:20160418	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160418	ICTV:T1virus	Escherichia virus ADB2	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20164971	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164971	ICTV:T1virus	Escherichia virus JMPW1	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20164972	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164972	ICTV:T1virus	Escherichia virus JMPW2	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20160419	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160419	ICTV:T1virus	Escherichia virus T1	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20160420	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160420	ICTV:T1virus	Shigella virus PSf2	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20160421	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160421	ICTV:T1virus	Shigella virus Shfl1	Viruses|Caudovirales|Siphoviridae|Tunavirinae|T1virus	species
ICTV:20160423	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160423	ICTV:Tlsvirus	Citrobacter virus Stevie	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Tlsvirus	species
ICTV:20160424	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160424	ICTV:Tlsvirus	Escherichia virus TLS	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Tlsvirus	species
ICTV:20160425	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160425	ICTV:Tlsvirus	Salmonella virus SP126	Viruses|Caudovirales|Siphoviridae|Tunavirinae|Tlsvirus	species
ICTV:20160427	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20160427	ICTV:Tunavirinae	Cronobacter virus Esp2949-1	Viruses|Caudovirales|Siphoviridae|Tunavirinae	species
ICTV:20164973	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164973	ICTV:Ab18virus	Pseudomonas virus Ab18	Viruses|Caudovirales|Siphoviridae|Ab18virus	species
ICTV:20164974	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164974	ICTV:Ab18virus	Pseudomonas virus Ab19	Viruses|Caudovirales|Siphoviridae|Ab18virus	species
ICTV:20164975	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164975	ICTV:Ab18virus	Pseudomonas virus PaMx11	Viruses|Caudovirales|Siphoviridae|Ab18virus	species
ICTV:20164976	https://talk.ictvonline.org/taxonomy/p/taxonomy-history?taxnode_id=20164976	ICTV:Amigovirus	Arthrobacter virus Amigo	Viruses|Caudovirales|Siphoviridae|Amigovirus	species
