id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1198643	1198643	urn:lsid:Psocodea.speciesfile.org:TaxonName:763	1198643	1198641	Seopsis beijingensis	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198644	1198644	urn:lsid:Psocodea.speciesfile.org:TaxonName:762	1198644	1198641	Seopsis concava	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198645	1198645	urn:lsid:Psocodea.speciesfile.org:TaxonName:761	1198645	1198641	Seopsis eucalla	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198646	1198646	urn:lsid:Psocodea.speciesfile.org:TaxonName:760	1198646	1198641	Seopsis guibeiensis	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198647	1198647	urn:lsid:Psocodea.speciesfile.org:TaxonName:759	1198647	1198641	Seopsis longisquama	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198648	1198648	urn:lsid:Psocodea.speciesfile.org:TaxonName:758	1198648	1198641	Seopsis magna	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198649	1198649	urn:lsid:Psocodea.speciesfile.org:TaxonName:757	1198649	1198641	Seopsis metodicra	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198650	1198650	urn:lsid:Psocodea.speciesfile.org:TaxonName:756	1198650	1198641	Seopsis multisquama	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198651	1198651	urn:lsid:Psocodea.speciesfile.org:TaxonName:755	1198651	1198641	Seopsis nanjingensis	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
1198652	1198652	urn:lsid:Psocodea.speciesfile.org:TaxonName:754	1198652	1198641	Seopsis qinlingensis	Li, Fasheng. 2002. Psocoptera of China. National Natural Science Foundation of China xlvi + 1976 pp. (2 vols), 1547 figs, 10 pl. at the end of the 2nd vol.	species	Li, 2002	valid			2015-12-02T11:44:00
