uid	|	name	|	type	|	rank	|	
1200356	|	Hoploclonia draconia	|	synonym	|		|	
1200371	|	Miroceramia pterobrimus	|	synonym	|		|	
1200282	|	Therameninae	|	synonym	|		|	
1200386	|	Dares (Dares) calamita	|	synonym	|		|	
1200386	|	Dares (Dares) corticinus	|	synonym	|		|	
1200395	|	Orestes verruculatus	|	synonym	|		|	
1200395	|	Dares fulmeki	|	synonym	|		|	
1200395	|	Dares (Dares) subcylindricus	|	synonym	|		|	
1200395	|	Orestes verrucatulus	|	synonym	|		|	
1200400	|	Platymorpha	|	synonym	|		|	
1200400	|	Platyphasma	|	synonym	|		|	
1200409	|	Datames	|	synonym	|		|	
1200416	|	Acanthoderus occipitalis	|	synonym	|		|	
1200416	|	Acanthoderus spiniventris	|	synonym	|		|	
1200419	|	Pylaemenes hongkongensis	|	synonym	|		|	
1200421	|	Datames arietinus	|	synonym	|		|	
1200425	|	Datames aequalis	|	synonym	|		|	
1200425	|	Datames cylindripes	|	synonym	|		|	
1200425	|	Acanthoderus gravidus	|	synonym	|		|	
1200429	|	Pylaemenes infans	|	synonym	|		|	
1200409	|	Pyloemenes	|	synonym	|		|	
1200445	|	Phyllium novaebritanniae	|	synonym	|		|	
1200445	|	Chitoniscus feedjeaus	|	synonym	|		|	
1200445	|	Chitoniscus feedjeanus	|	synonym	|		|	
1200456	|	Pteropus	|	synonym	|		|	
1200465	|	Phyllium siccifolium	|	synonym	|		|	
1200472	|	Phyllium brevicorne	|	synonym	|		|	
1200472	|	Phasma chlorophyllum	|	synonym	|		|	
1200472	|	Phyllium donovani	|	synonym	|		|	
1200472	|	Mantis foliatus	|	synonym	|		|	
1200472	|	Phasma citrifolium	|	synonym	|		|	
1200472	|	Phyllium gorgon	|	synonym	|		|	
1200472	|	Phyllium stollii	|	synonym	|		|	
1200472	|	Phasma chlorophylla	|	synonym	|		|	
1200498	|	Phyllium insulanicum	|	synonym	|		|	
1200498	|	Phyllium indicum	|	synonym	|		|	
1200501	|	Phyllium agathyrsus	|	synonym	|		|	
1200501	|	Phyllium crurifolium	|	synonym	|		|	
1200501	|	Phyllium dardanus	|	synonym	|		|	
1200501	|	Phyllium gelonus	|	synonym	|		|	
1200501	|	Phyllium magdelainei	|	synonym	|		|	
1200501	|	Phyllium pulchrifolium	|	synonym	|		|	
1200501	|	Phyllium scythe	|	synonym	|		|	
1200527	|	Carausius australicus	|	synonym	|		|	
1200529	|	Carausius macerrimus	|	synonym	|		|	
1200535	|	Dixippus	|	synonym	|		|	
1200565	|	Dixippus aurantiaconotatus	|	synonym	|		|	
1200565	|	Dixippus tumescens	|	synonym	|		|	
1200569	|	Carausius transiliens	|	synonym	|		|	
1200579	|	Carausius jesuitae	|	synonym	|		|	
1200584	|	Carausius uncinatus	|	synonym	|		|	
1200586	|	Carausius macer	|	synonym	|		|	
1200605	|	Myronides ramulus	|	synonym	|		|	
1200608	|	Dixippus remanens	|	synonym	|		|	
1200608	|	Carausius ribbei	|	synonym	|		|	
1200608	|	Myronides simplex	|	synonym	|		|	
1200608	|	Myronides sordidus	|	synonym	|		|	
1200618	|	Carausius collega	|	synonym	|		|	
1200618	|	Lonchodes hosei herberti	|	synonym	|		|	
1200622	|	Dixippus brasiliensis	|	synonym	|		|	
1200622	|	Hermagoras cristatus	|	synonym	|		|	
1200622	|	Lonchodes papuanus	|	synonym	|		|	
1200622	|	Prisomera strumosus	|	synonym	|		|	
1200628	|	Lonchodes megabeast	|	synonym	|		|	
1200617	|	Hermogenes	|	synonym	|		|	
1200632	|	Prisomera eximium	|	synonym	|		|	
1200632	|	Prisomera expulsus	|	synonym	|		|	
1200632	|	Phasma femorata	|	synonym	|		|	
1200632	|	Phasma latipes	|	synonym	|		|	
1200632	|	Dixippus longithorax	|	synonym	|		|	
1200632	|	Prisomera objectum	|	synonym	|		|	
1200632	|	Lonchodes personatus	|	synonym	|		|	
1200632	|	Lonchodes virgatus	|	synonym	|		|	
1200641	|	Marcenia	|	synonym	|		|	
1200645	|	Bacteria frenchi	|	synonym	|		|	
1200647	|	Marcenia cunctatrix	|	synonym	|		|	
1200647	|	Hyrtacus nigrogranulosus	|	synonym	|		|	
1200647	|	Bacillus peristhenellus	|	synonym	|		|	
1200651	|	Phasgania	|	synonym	|		|	
1200659	|	Dixippus bicolor	|	synonym	|		|	
1200659	|	Lonchodes dispar	|	synonym	|		|	
1200663	|	Prisomera gestroi	|	synonym	|		|	
1200663	|	Lonchodes pterodactylus	|	synonym	|		|	
1200663	|	Phasma (Bacteria) sumatranus	|	synonym	|		|	
1200663	|	Phasma (Lonchodes) uniformis	|	synonym	|		|	
1200663	|	Dixippus validior	|	synonym	|		|	
1200621	|	Lonchodes dajak	|	synonym	|		|	
1200674	|	Lonchodes catori	|	synonym	|		|	
1200679	|	Phasma (Bacteria) geniculosum	|	synonym	|		|	
1200679	|	Prisomera thoracicum	|	synonym	|		|	
1200687	|	Lonchodes infrequens	|	synonym	|		|	
1200697	|	Dixippus intermedius	|	synonym	|		|	
1200708	|	Lonchodes nigroantennatus	|	synonym	|		|	
1200718	|	Phasma (Lonchodes) luteoviridis	|	synonym	|		|	
1200718	|	Phasma (Lonchodes) luteo-viride	|	synonym	|		|	
1200726	|	Menexenus rotunguis	|	synonym	|		|	
1200728	|	Lonchodes contractus	|	synonym	|		|	
1200728	|	Menexenus cristatus	|	synonym	|		|	
1200714	|	Menexus	|	synonym	|		|	
1200735	|	Dixippus bilobatus	|	synonym	|		|	
1200735	|	Lonchodes nodulosus	|	synonym	|		|	
1200733	|	Mithrenus	|	synonym	|		|	
1200751	|	Lonchodes steira	|	synonym	|		|	
1200757	|	Dixippus furcatus	|	synonym	|		|	
1200757	|	Lonchodes duivenbodei	|	synonym	|		|	
1200757	|	Periphetes sangirensis	|	synonym	|		|	
1200761	|	Lonchodes analis	|	synonym	|		|	
1200768	|	Phenacephorus appendiculatus	|	synonym	|		|	
1200770	|	Phenacephorus parahaematomus	|	synonym	|		|	
1200778	|	Dixippus cornutus	|	synonym	|		|	
1200781	|	Phraortes bileneatus	|	synonym	|		|	
1200785	|	Phasma (Bacteria) niponense	|	synonym	|		|	
1200800	|	Staelonchodes borealis	|	synonym	|		|	
1200826	|	Greenia ornata	|	synonym	|		|	
1200826	|	Prisomera perlobatus	|	synonym	|		|	
1200843	|	Pericentrus moewisi	|	synonym	|		|	
1200848	|	Marcenia carinatus	|	synonym	|		|	
1200848	|	Hyrtacus cylindricus	|	synonym	|		|	
1200852	|	Hyrtacus imitans	|	synonym	|		|	
1200861	|	Prisomera morbosum	|	synonym	|		|	
1200863	|	Prisomera tuberculatum	|	synonym	|		|	
1200865	|	Prisomera excretum	|	synonym	|		|	
1200865	|	Prisomera rubrifemur	|	synonym	|		|	
1200869	|	Prisomera indefinitum	|	synonym	|		|	
1200877	|	Prisomera modestissimum	|	synonym	|		|	
1200877	|	Stheneboea esuriens	|	synonym	|		|	
1200877	|	Prisomera degeneratus	|	synonym	|		|	
1200877	|	Stheneboea obtuselobatum	|	synonym	|		|	
1200877	|	Stheneboea oppositifolium	|	synonym	|		|	
1200877	|	Stheneboea rarolobatum	|	synonym	|		|	
1200884	|	Paraprisomera tabrobanae	|	synonym	|		|	
1200891	|	Galactea aptera	|	synonym	|		|	
1200893	|	Lonchodes acutespinosus	|	synonym	|		|	
1200893	|	Myronides longipes	|	synonym	|		|	
1200893	|	Stheneboea nigra	|	synonym	|		|	
1200886	|	Sthenoboea	|	synonym	|		|	
1200525	|	Menexenini	|	synonym	|		|	
1200524	|	Prisomerinae	|	synonym	|		|	
1200524	|	Lonchodidae	|	synonym	|		|	
1202647	|	Neohiraseini	|	synonym	|		|	
1200926	|	Paracentema	|	synonym	|		|	
1200931	|	Menexenus lugens	|	synonym	|		|	
1200939	|	Spiniphasma	|	synonym	|		|	
1200942	|	Menexenus modificatus	|	synonym	|		|	
1200947	|	Spinohirasea crassithorax	|	synonym	|		|	
1201021	|	Baculini	|	synonym	|		|	
1201022	|	Bacillus (Baculum)	|	synonym	|		|	
1201022	|	Ceratiscus	|	synonym	|		|	
1201022	|	Abrachia	|	synonym	|		|	
1200976	|	Phibalosoma	|	synonym	|		|	
1200982	|	Bacteria tuberculata argentina	|	synonym	|		|	
1200982	|	Bacteria tuberculata	|	synonym	|		|	
1200982	|	Phibalosoma paulense	|	synonym	|		|	
1200982	|	Phibalosoma coronata	|	synonym	|		|	
1200982	|	Cladomorphus dilatipes	|	synonym	|		|	
1200982	|	Phibalosoma lepelletieri	|	synonym	|		|	
1200982	|	Phibalosoma rochai	|	synonym	|		|	
1201002	|	Phibalosoma phyllocephalum	|	synonym	|		|	
1201015	|	Bacteria pichisina	|	synonym	|		|	
1200975	|	Cladomorphi	|	synonym	|		|	
1201021	|	Cladoxerinae	|	synonym	|		|	
1201034	|	Phasmilliger	|	synonym	|		|	
1201036	|	Bacteria clavigera	|	synonym	|		|	
1201036	|	Diapherodes (Cranidium) serricollis	|	synonym	|		|	
1229628	|	Cyphocrana cornuta	|	synonym	|		|	
1229628	|	Mantis gigas	|	synonym	|		|	
1201066	|	Diapherodes christopheri	|	synonym	|		|	
1201046	|	Haplopus grayi	|	synonym	|		|	
1201058	|	Diapherodes longiscapha	|	synonym	|		|	
1201053	|	Phasma havaniense	|	synonym	|		|	
1201056	|	Aplopus	|	synonym	|		|	
1201073	|	Phasma (Haplopus) bituberculatus	|	synonym	|		|	
1201073	|	Haplopus cytherea	|	synonym	|		|	
1201066	|	Diapherodes glabricollis	|	synonym	|		|	
1201066	|	Mantis bispinosus	|	synonym	|		|	
1201066	|	Mantis 2-spinosa	|	synonym	|		|	
1201053	|	Haplopus juvenis	|	synonym	|		|	
1201073	|	Haplopus ligiolus	|	synonym	|		|	
1201073	|	Haplopus ligia	|	synonym	|		|	
1201078	|	Aplopus mayeri	|	synonym	|		|	
1201073	|	Phasma angulata	|	synonym	|		|	
1201066	|	Haplopus murinus	|	synonym	|		|	
1201073	|	Haplopus obtusus	|	synonym	|		|	
1201066	|	Diapherodes pulverulentus	|	synonym	|		|	
1201078	|	Aplopus similis	|	synonym	|		|	
1201073	|	Diapherodes spinipes	|	synonym	|		|	
1201073	|	Phasma angulata	|	synonym	|		|	
1200965	|	Bacterinae	|	synonym	|		|	
1200965	|	Cladomorphidae	|	synonym	|		|	
1200965	|	Phibalosomini	|	synonym	|		|	
1200524	|	Eurycanthinae	|	synonym	|		|	
1201087	|	Acanthodyta	|	synonym	|		|	
1201087	|	Neanthes	|	synonym	|		|	
1201106	|	Canachus tyrrhoeus	|	synonym	|		|	
1201108	|	Brachyrhamphus	|	synonym	|		|	
1201113	|	Eubulides spuria	|	synonym	|		|	
1201127	|	Karabidion	|	synonym	|		|	
1201129	|	Eurycantha diabolus	|	synonym	|		|	
1201129	|	Eurycantha willeyi	|	synonym	|		|	
1201129	|	Eurycantha sifia	|	synonym	|		|	
1201136	|	Eurycantha coenosa	|	synonym	|		|	
1201136	|	Eurycantha coriacea	|	synonym	|		|	
1201141	|	Eurycantha micrantha	|	synonym	|		|	
1201144	|	Eurycantha echinata	|	synonym	|		|	
1201127	|	Carabidion	|	synonym	|		|	
1201151	|	Giglotosea	|	synonym	|		|	
1201151	|	Promachus	|	synonym	|		|	
1201164	|	Lonchodes hispa	|	synonym	|		|	
1201164	|	Acanthoderus hystrix	|	synonym	|		|	
1201175	|	Neopromachus biroi	|	synonym	|		|	
1201180	|	Promachus biroi	|	synonym	|		|	
1201198	|	Promachus exceptus	|	synonym	|		|	
1201223	|	Poecilobactron	|	synonym	|		|	
1200524	|	Eurycanthae	|	synonym	|		|	
1201241	|	Ectus	|	synonym	|		|	
1201243	|	Ectus solitarius	|	synonym	|		|	
1201245	|	Austroclonistria	|	synonym	|		|	
1201249	|	Austroclonistria serrulata	|	synonym	|		|	
1201253	|	Carnacia	|	synonym	|		|	
1201255	|	Carnacia obscura	|	synonym	|		|	
1201255	|	Anophelepis telephorus	|	synonym	|		|	
1201263	|	Acanthoderus	|	synonym	|		|	
1201263	|	Macracantha	|	synonym	|		|	
1201266	|	Acanthoxyla huttoni	|	synonym	|		|	
1201270	|	Acanthoxyla intermedia	|	synonym	|		|	
1201270	|	Bacillus atroarticulus	|	synonym	|		|	
1201270	|	Bacillus filiformis	|	synonym	|		|	
1201266	|	Acanthoderus fasciatus	|	synonym	|		|	
1201270	|	Acanthoxyla speciosa	|	synonym	|		|	
1201266	|	Acanthoderus suteri	|	synonym	|		|	
1201276	|	Mimarchus	|	synonym	|		|	
1201278	|	Mimarchus tarsatus	|	synonym	|		|	
1201278	|	Bacillus gerhardii	|	synonym	|		|	
1201278	|	Argosarchus schauinslandi	|	synonym	|		|	
1201278	|	Bacillus sylvaticus	|	synonym	|		|	
1201278	|	Acanthoderus spiniger	|	synonym	|		|	
1201276	|	Gastrotrachydea	|	synonym	|		|	
1201286	|	Bacillus coloreus	|	synonym	|		|	
1201286	|	Clitarchus interruptelineatus	|	synonym	|		|	
1201286	|	Clitarchus laeviusculus	|	synonym	|		|	
1201286	|	Bacillus minimus	|	synonym	|		|	
1201286	|	Clitarchus reductus	|	synonym	|		|	
1201286	|	Clitarchus tuberculatus	|	synonym	|		|	
1201286	|	Clitarchus multidentatus	|	synonym	|		|	
1201300	|	Vetilia	|	synonym	|		|	
1201303	|	Acrophylla paula	|	synonym	|		|	
1201303	|	Acrophylla aliena	|	synonym	|		|	
1201308	|	Vetilia ligula	|	synonym	|		|	
1201312	|	Vetilia eurymedon	|	synonym	|		|	
1201315	|	Ctenomorphodes	|	synonym	|		|	
1201321	|	Mantis cylindrica	|	synonym	|		|	
1201321	|	Phasma naevium	|	synonym	|		|	
1201321	|	Phasma necydaloides	|	synonym	|		|	
1201326	|	Anchiale stollii	|	synonym	|		|	
1201332	|	Phasma (Diura) japetus	|	synonym	|		|	
1201335	|	Ctenomorpha macleayi	|	synonym	|		|	
1201335	|	Ctenomorpha albopunctatum	|	synonym	|		|	
1201335	|	Ctenomorpha nigrovaria	|	synonym	|		|	
1201339	|	Ctenomorpha tessulata	|	synonym	|		|	
1201339	|	Ctenomorpha tessellata	|	synonym	|		|	
1201339	|	Acrophylla tessalata	|	synonym	|		|	
1201339	|	Acrophylla tesselata	|	synonym	|		|	
1201347	|	Phasma (Diura) chronus	|	synonym	|		|	
1201347	|	Lopaphus macrotegmus	|	synonym	|		|	
1201347	|	Acrophylla oxyacantha	|	synonym	|		|	
1201347	|	Acrophylla phyllocerca	|	synonym	|		|	
1201347	|	Acrophylla scutigera	|	synonym	|		|	
1201347	|	Acrophylla tasmaniensis	|	synonym	|		|	
1201355	|	Clemacantha	|	synonym	|		|	
1201357	|	Phasma (Diura) acheron	|	synonym	|		|	
1201357	|	Eurycnema magnifica	|	synonym	|		|	
1201357	|	Clemacantha regale	|	synonym	|		|	
1201357	|	Eurycnema viridissima	|	synonym	|		|	
1201363	|	Acrophylla salmacis	|	synonym	|		|	
1201363	|	Eurycnema cercata	|	synonym	|		|	
1201363	|	Eurycnema stenocerca	|	synonym	|		|	
1201367	|	Cyphocrania hanitschi	|	synonym	|		|	
1201367	|	Cyphocrania herculeana	|	synonym	|		|	
1201367	|	Cyphocrania (Eurycnema) versifasciata	|	synonym	|		|	
1201609	|	Vasilissa tecticollis	|	synonym	|		|	
1201383	|	Peloria	|	synonym	|		|	
1201386	|	Papuanoidea	|	synonym	|		|	
1201386	|	Cyphocrana	|	synonym	|		|	
1201395	|	Papuanoidea straeleni	|	synonym	|		|	
1201389	|	Cyphocrana beauvoisi	|	synonym	|		|	
1201389	|	Phasma empusa	|	synonym	|		|	
1201389	|	Cyphocrana bauvoisi	|	synonym	|		|	
1201395	|	Cyphocrania maclayi	|	synonym	|		|	
1201386	|	Cyphocrania	|	synonym	|		|	
1201239	|	Phasminae	|	synonym	|		|	
1201239	|	Acrophyllini	|	synonym	|		|	
1201403	|	Hovaspectrum	|	synonym	|		|	
1201403	|	Enetia	|	synonym	|		|	
1201415	|	Achrioptera composita	|	synonym	|		|	
1201415	|	Achrioptera intermedia	|	synonym	|		|	
1201425	|	Mylothrus	|	synonym	|		|	
1201429	|	Nesiophasma eremothocus	|	synonym	|		|	
1201434	|	Eustygera	|	synonym	|		|	
1201436	|	Eustygera godeffroyi	|	synonym	|		|	
1201441	|	Hermarchus polynesicus	|	synonym	|		|	
1201444	|	Phibalosoma britanniae	|	synonym	|		|	
1201452	|	Hermarchus uvarovi	|	synonym	|		|	
1201449	|	Taenionema	|	synonym	|		|	
1201449	|	Taeniophasma	|	synonym	|		|	
1201449	|	Taeniosoma	|	synonym	|		|	
1201460	|	Phasmotaenia elongata	|	synonym	|		|	
1201449	|	Phasmotaenionema	|	synonym	|		|	
1201480	|	Hermarchus annulatus	|	synonym	|		|	
1201480	|	Hermarchus muelleri	|	synonym	|		|	
1201503	|	Alopus coccophaga	|	synonym	|		|	
1201503	|	Graeffea purpuripennis	|	synonym	|		|	
1201507	|	Phasma rosea	|	synonym	|		|	
1201503	|	Anophelepis fulvescens	|	synonym	|		|	
1201501	|	Alopus	|	synonym	|		|	
1201523	|	Megacrania bakeri	|	synonym	|		|	
1201525	|	Megacrania batesi	|	synonym	|		|	
1201529	|	Megacrania phelans	|	synonym	|		|	
1201534	|	Megacrania alpheus adan	|	synonym	|		|	
1201537	|	Apterrhidaeus	|	synonym	|		|	
1201537	|	Arrhidaeus	|	synonym	|		|	
1201542	|	Apterrhidaeus xanthopteryx	|	synonym	|		|	
1201556	|	Arrhidaeus stali	|	synonym	|		|	
1201563	|	Phasma edulis	|	synonym	|		|	
1201563	|	Phasma grandis	|	synonym	|		|	
1201563	|	Phasma jamaicensis	|	synonym	|		|	
1201562	|	Platycrania	|	synonym	|		|	
