id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1157335	1157335	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1190	1157333	1157329	Perla producta	Walsh. 1862. List of the Pseudoneuroptera of Illinois contained in the cabinet of the writer, with descriptions of over forty new species, and notes on the structural affinities. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Phila.) 1862 14:361-402	species	Walsh, 1862	junior synonym			2016-06-09T15:02:00
1157336	1157336	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1189	1157333	1157329	Atoperla consors	Banks. 1948. Notes on Perlidæ. Psyche: A Journal of Entomology (Psyche) 55(3):113-130	species	Banks, 1948	junior synonym			2016-06-09T15:02:00
1157337	1157337	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1183	1157337	1157329	Perlinella zwicki	Kondratieff, Kirchner & Stewart. 1988. A review of Perlinella Banks (Plecoptera: Perlidae). Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 81(1):19-27	species	Kondratieff, Kirchner & Stewart, 1988	valid			2016-07-13T08:55:00
1157338	1157338	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1181	1157329	1157127	Atoperla	Banks. 1905. New Genera and Species of Perlidae. Psyche: A Journal of Entomology (Psyche) 12(3-4):55-57	genus	Banks, 1905	junior synonym		Zwick 1971c	2016-07-12T15:08:00
1157339	1157339	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1162	1157339	1157127	Xanthoneuria	Uchida, Stark & Sivec. 2011. Xanthoneuria, a new genus of stonefly (Plecoptera: Perlidae) from Japan. Illiesia 7(5):65-69	genus	Uchida, Stark & Sivec, 2011	valid			2015-11-13T10:48:00
1157340	1157340	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1175	1157340	1157339	Xanthoneuria bolivari	Klapálek. 1907. Uber die Arten der unterfamilie Perlinae aus Japan. Bull. internat. acad. Sci. Boheme 12:257-274	species	(Klapálek, 1907)	valid			2016-07-19T13:25:00
1157341	1157341	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1172	1157341	1157339	Xanthoneuria jouklii	Klapálek. 1907. Japoneské druhy podceledi Perlinae. Rozpravy Ceské akademie ved a umení. Trída II. (Mathematicko-prírodovedecká) (Rozpr. Ceské. Akad.) 16(31):1-28	species	(Klapálek, 1907)	valid			2016-11-10T11:52:00
1157342	1157342	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1169	1157342	1157339	Xanthoneuria unimaculata	Zhiltzova. 1981. New species of stoneflies (Plecoptera) from the Far East. Trudy Zoologicheskogo Instituta Akademia Nauk (Trud. zool. Inst. Akad. Nauk) 92:3-7	species	(Zhiltzova, 1981)	valid			2015-11-13T10:48:00
1157343	1157343	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1165	1157343	1157339	Xanthoneuria fulva	Klapálek. 1907. Uber die Arten der unterfamilie Perlinae aus Japan. Bull. internat. acad. Sci. Boheme 12:257-274	species	(Klapálek, 1907)	valid			2016-06-09T15:02:00
1157344	1157344	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1163	1157339	1157127	Japoneuria	Uchida. 1990. A revision of the Japanese Perlidae (Insecta: Plecoptera), with special reference to their phylogeny. thesis 1-228	genus	Uchida, 1990	synonym	nudum	A replacement name was provided for this nomen nudum, Xanthoneuria.	2014-10-20T11:01:00
1157345	1157345	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1158	1155558	1155557	Perlariae	Latreille. 1802. Families naturelles et genres. Histoire naturelle, générale et particulière des crustacés et des insectes : ouvrage faisant suite aux oeuvres de Leclerc de Buffon, et partie du cours complet d'histoire naturelle rédigé, F. Dufart, Paris 3:467 pp.	family	Latreille, 1802	junior synonym			2013-07-20T16:40:00
1157346	1157346	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1157	1155558	1155557	Subulipalpia		superfamily		synonym		Not based on type genus.	2016-06-09T15:02:00
1157347	1157347	urn:lsid:Plecoptera.speciesfile.org:TaxonName:236	1157347	1155558	Perlodidae	Klapálek. 1909. In Klapálek & Grunberg. Hft. 8. Ephemerida, Plecoptera, Lepidoptera. In Brauer, A. II. Plecoptera, Steinfliegen. Die Süsswasserfauna Deutschlands. Eine Exkursionsfauna, Verlag von Gustav Fischer, Jena 33-95, 160-163, 124 fig.	family	Klapálek, 1909	valid			2016-10-12T14:39:00
1157348	1157348	urn:lsid:Plecoptera.speciesfile.org:TaxonName:1156	1157347	1155558	Isoperlidae	Frison. 1942. Studies of North American Plecoptera, With Special Reference to the Fauna of Illinois. Illinois Natural History Survey Bulletin (Ill.Nat.Hist.Surv.Bull.) 22(2):235-355	family	Frison, 1942	synonym			2016-06-09T15:02:00
