scientificName
Neornithes
Paleognathae
Neognathae
Neoaves
Struthioniformes
Struthionidae
Tadorna radjah (Garnot & Lesson, R, 1828)
Tadorna radjah radjah (Garnot & Lesson, R, 1828)
Tadorna radjah rufitergum Hartert, 1905
Tadorna ferruginea (Pallas, 1764)
Tadorna cana (Gmelin, JF, 1789)
Tadorna tadornoides (Jardine & Selby, 1828)
Tadorna variegata (Gmelin, JF, 1789)
Tadorna cristata (Kuroda, 1917)
Malacorhynchus Swainson, 1831
Malacorhynchus membranaceus (Latham, 1801)
Salvadorina Rothschild & Hartert, 1894
Salvadorina waigiuensis Rothschild & Hartert, 1894
Cairina Fleming, J, 1822
Cairina moschata (Linnaeus, 1758)
Asarcornis Salvadori, 1895
Asarcornis scutulata (Müller, S, 1842)
Pteronetta Salvadori, 1895
Pteronetta hartlaubii (Cassin, 1860)
Aix Boie, F, 1828
Aix sponsa (Linnaeus, 1758)
Aix galericulata (Linnaeus, 1758)
Chenonetta von Brandt, JF, 1836
Chenonetta jubata (Latham, 1801)
Nettapus von Brandt, JF, 1836
Nettapus auritus (Boddaert, 1783)
Nettapus coromandelianus (Gmelin, JF, 1789)
Nettapus coromandelianus coromandelianus (Gmelin, JF, 1789)
Nettapus coromandelianus albipennis Gould, 1842
Nettapus pulchellus Gould, 1842
Amazonetta von Boetticher, 1929
Amazonetta brasiliensis (Gmelin, JF, 1789)
Amazonetta brasiliensis brasiliensis (Gmelin, JF, 1789)
Amazonetta brasiliensis ipecutiri (Vieillot, 1816)
Callonetta Delacour, 1936
Callonetta leucophrys (Vieillot, 1816)
Lophonetta Riley, 1914
Lophonetta specularioides (King, PP, 1828)
Lophonetta specularioides alticola (Ménégaux, 1909)
Lophonetta specularioides specularioides (King, PP, 1828)
Speculanas von Boetticher, 1929
Speculanas specularis (King, PP, 1828)
Anas Linnaeus, 1758
Anas capensis Gmelin, JF, 1789
Anas strepera Linnaeus, 1758
Anas strepera strepera Linnaeus, 1758
Anas strepera couesi (Streets, 1876)
Anas falcata Georgi, 1775
Anas sibilatrix Poeppig, 1829
Anas penelope Linnaeus, 1758
Anas americana Gmelin, JF, 1789
Anas marecula Olson & Jouventin, 1996
Anas sparsa Eyton, 1838
Anas sparsa leucostigma Rüppell, 1845
Anas sparsa sparsa Eyton, 1838
Anas rubripes Brewster, 1902
Anas platyrhynchos Linnaeus, 1758
Anas platyrhynchos platyrhynchos Linnaeus, 1758
Anas platyrhynchos conboschas Brehm, CL, 1831
Anas fulvigula Ridgway, 1874
Anas fulvigula fulvigula Ridgway, 1874
Anas fulvigula maculosa Sennett, 1889
Anas diazi Ridgway, 1886
Anas wyvilliana Sclater, PL, 1878
Anas laysanensis Rothschild, 1892
Anas luzonica Fraser, 1839
Anas superciliosa Gmelin, JF, 1789
Anas superciliosa superciliosa Gmelin, JF, 1789
Anas superciliosa pelewensis Hartlaub & Finsch, 1872
Anas poecilorhyncha Forster, JR, 1781
Anas poecilorhyncha poecilorhyncha Forster, JR, 1781
Anas poecilorhyncha haringtoni (Oates, 1907)
Anas zonorhyncha Swinhoe, 1866
Anas undulata Dubois, CF, 1838
Anas undulata ruppelli Blyth, 1855
Anas undulata undulata Dubois, CF, 1838
Anas melleri Sclater, PL, 1865
Anas discors Linnaeus, 1766
Anas cyanoptera Vieillot, 1816
Anas cyanoptera septentrionalium Snyder & Lumsden, 1951
Anas cyanoptera tropica Snyder & Lumsden, 1951
Anas cyanoptera borreroi Snyder & Lumsden, 1951
Anas cyanoptera orinoma (Oberholser, 1906)
Anas cyanoptera cyanoptera Vieillot, 1816
Anas smithii (Hartert, 1891)
Anas platalea Vieillot, 1816
Anas rhynchotis Latham, 1801
Anas rhynchotis rhynchotis Latham, 1801
Anas rhynchotis variegata (Gould, 1856)
Anas clypeata Linnaeus, 1758
Anas bernieri (Hartlaub, 1860)
Anas theodori Newton, E & Gadow, 1893
Anas gibberifrons Müller, S, 1842
Anas albogularis (Hume, 1873)
Anas gracilis Buller, 1869
Anas gracilis gracilis Buller, 1869
Anas gracilis remissa Ripley, 1942
Anas castanea (Eyton, 1838)
Anas aucklandica (Gray, GR, 1844)
Anas nesiotis (Fleming, JH, 1935)
Anas chlorotis Gray, GR, 1845
Anas bahamensis Linnaeus, 1758
Anas bahamensis bahamensis Linnaeus, 1758
Anas bahamensis rubrirostris Vieillot, 1816
Anas bahamensis galapagensis (Ridgway, 1890)
Anas erythrorhyncha Gmelin, JF, 1789
Anas flavirostris Vieillot, 1816
Anas flavirostris oxyptera Meyen, 1834
Anas flavirostris flavirostris Vieillot, 1816
Anas andium (Sclater, PL & Salvin, 1873)
Anas andium altipetens (Conover, 1941)
Anas andium andium (Sclater, PL & Salvin, 1873)
Anas georgica Gmelin, JF, 1789
Anas georgica niceforoi Wetmore & Borrero, 1946
Anas georgica spinicauda Vieillot, 1816
Anas georgica georgica Gmelin, JF, 1789
Anas acuta Linnaeus, 1758
Anas eatoni (Sharpe, 1875)
Anas eatoni drygalskii Reichenow, 1904
Anas eatoni eatoni (Sharpe, 1875)
Anas querquedula Linnaeus, 1758
Anas formosa Georgi, 1775
Anas crecca Linnaeus, 1758
Anas crecca crecca Linnaeus, 1758
Anas crecca nimia Friedmann, 1948
Anas carolinensis Gmelin, JF, 1789
Anas versicolor Vieillot, 1816
Anas versicolor versicolor Vieillot, 1816
Anas versicolor fretensis King, PP, 1831
Anas puna Tschudi, 1844
Anas hottentota (Eyton, 1838)
Marmaronetta Reichenbach, 1853
Marmaronetta angustirostris (Ménétries, 1832)
Rhodonessa Reichenbach, 1853
Rhodonessa caryophyllacea (Latham, 1790)
Netta Kaup, 1829
Netta rufina (Pallas, 1773)
Netta peposaca (Vieillot, 1816)
Netta erythrophthalma (zu Wied-Neuwied, 1833)
Netta erythrophthalma brunnea (Eyton, 1838)
Netta erythrophthalma erythrophthalma (zu Wied-Neuwied, 1833)
Aythya Boie, F, 1822
Aythya valisineria (Wilson, A, 1814)
Aythya americana (Eyton, 1838)
Aythya ferina (Linnaeus, 1758)
Aythya australis (Eyton, 1838)
Aythya australis australis (Eyton, 1838)
Aythya australis extima Mayr, 1940
