vernacularName	language	taxonID
Ruddy Shelduck	en	93fc024c5f96f106958ff5d8537444cf
South African Shelduck	en	27974f107f0b8103830c6a026e226dfa
Australian Shelduck	en	66583f245d9b82c066bb0d57ab8c364e
Paradise Shelduck	en	2eea358bed8c6c579551ae5f2065b440
Crested Shelduck	en	8abb2317ea1b11de67f163f2faf83da9
Pink-eared Duck	en	018409b18f7daa69de1d7f2cbab5ece5
Salvadori's Teal	en	d07e88addd2d487669e23c2fdae86ac0
Muscovy Duck	en	829bb503d5d7519137b6276ade2f3b0c
White-winged Duck	en	8e50f205c1d365a527d0a57e2dbd39c0
Hartlaub's Duck	en	465d31cdde7dbab1a30a27729d4e46b4
Wood Duck	en	524bbf71538f1c71693a57d5605075c9
Mandarin Duck	en	1d61c402aa635e98f31137a9dcb21d28
Maned Duck	en	aa1b79f7067443d49e2935489c0535bd
African Pygmy Goose	en	caf13ea023e00ee00ad1ca8c15b68716
Cotton Pygmy Goose	en	9c9152df7e50fc29cf7042520f9eded1
Green Pygmy Goose	en	7e35f0be2b3b1bf253f3ca0ce60ec9fd
Brazilian Teal	en	2ccfd8f07836021f6df73a5e357cb74f
Ringed Teal	en	cdc69fe1f7194c81348515db98c21e90
Crested Duck	en	d2b091af061fb801e053d93b225f7e46
Bronze-winged Duck	en	ac101c5725dcf2b08362927d2c7de94d
Cape Teal	en	9bc48f11ecf03203cd212e758185c38b
Gadwall	en	15dd92d4bbd37b85613aa330cd4b5da8
Falcated Duck	en	087a20c59799b1783be0e055225a6a0a
Chiloe Wigeon	en	10af6780ddc7589a702d09d758226599
Eurasian Wigeon	en	ae2cd044e27622f782b608ccde26e07d
American Wigeon	en	3755b914cc0bca32789b84e596f18224
Amsterdam Wigeon	en	f9af9efae4d058727476a70b3cb90c97
African Black Duck	en	85e78594872357b1134d025cfab2936a
American Black Duck	en	6e1daa28e96657db3655af7988e660c6
Mallard	en	5ac1a6495433c81b82cc81c9ef06e0ae
Mottled Duck	en	3b5d9dbc62dd6ff3149c7936c78995df
Mexican Duck	en	8aa7a49aa91e2bd1c385a3be393deeb5
Hawaiian Duck	en	943fa3cfcefe4af40e5f78dfd32b60fe
Laysan Duck	en	ffc04daf8cdfdec21360948aee5c792f
Philippine Duck	en	af3de4f04fcd516df547a800454a89ff
Pacific Black Duck	en	594c8e1a43650bf5defa7d8f11481fe7
Indian Spot-billed Duck	en	59dbcfea4cce7b9c6ccfdb8c4291be74
Eastern Spot-billed Duck	en	5035829942e1820aec5b465230170031
Yellow-billed Duck	en	9429634b76f67275cf14d557d192bc2b
Meller's Duck	en	88c18b1ec31ba6dbbe65dd1c594470aa
Blue-winged Teal	en	a8ed8969a7c619601ceca37cdd20c73c
Cinnamon Teal	en	777eacee7aedb20242d3769146a87df0
Cape Shoveler	en	2c25d8a337ddf7cf0fc8470276c0de43
Red Shoveler	en	3b53f31d4e0de710d847ea7f29617ba4
Australasian Shoveler	en	face2bfbbe35f4126f54e057f5f9bf14
Northern Shoveler	en	0fec487d2f99754702e3ed9fa0d717b1
Bernier's Teal	en	f4d3d4106884a17776ad87771d465bde
Mascarene Teal	en	42359fbc32076e35abdfe98e44059919
Sunda Teal	en	34aa462c6a6005d8ee9a9995032825bc
Andaman Teal	en	18f16937e70338cab65490bfc476d5ea
Grey Teal	en	659da35ba87c4f5501562dc6f5f48466
Chestnut Teal	en	02349a8fd3d703677d2b2cd8ba5bfeca
Auckland Teal	en	9ece850a28a277e851ad29fc00716855
Campbell Teal	en	089ee2d7c801aea87ba3825d2beccd09
Brown Teal	en	79535f3bcd31ab453033309a50c05187
White-cheeked Pintail	en	0859e319ea222352d62f5e7201aafddb
Red-billed Teal	en	3e1e0aa8d122400c59d39e8774ad8128
Yellow-billed Teal	en	2d095cd166b298693c10c9caafd565d0
Andean Teal	en	4239ce14f0f7642d0c6b5705e18b4856
Yellow-billed Pintail	en	f9893936de0c69e75f05e55606453691
Northern Pintail	en	2cf7ac820d46b8de8dda1a230b45d967
Eaton's Pintail	en	09a560e447426f8042927c9b6bbbb82a
Garganey	en	daecd2d145188dfa2a20e3530b60516b
Baikal Teal	en	498852ceb58b38f43a72b1aa87cc5ab0
