id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1210275	1210275	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487664	1210275	1209963	Xyonysius ellipticus	Berg, C. 1892. Nova Hemiptera faunarum Argentinae et Uruguayensis. Lygaeidae. An. Soc. cient. argent.	Animalia	species	(Berg, 1892)	ICZN	valid			2016-11-08T15:20:00
1210276	1210276	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487311	1210276	1220388	Nysius paludicolus	Barber, H.G. 1949. A new genus in the subfamily Blissinae from Mexico & a new Nysius from the Northwest (Lygaeidae: Hemiptera-Heteroptera). Bull. Brooklyn ent. Soc.	Animalia	species	Barber, 1949	ICZN	valid			2016-11-18T08:57:00
1210278	1210278	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487310	1210278	1220388	Nysius sublittoralis	Perkins. 1912. Notes on Hawaiian Hemiptera, with descriptions of new species. Trans. R. ent. Soc. Lond.	Animalia	species	Perkins, 1912	ICZN	valid			2016-11-08T15:21:00
1210279	1210279	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487309	1210279	1220388	Nysius chenopodii	Usinger, R.L. 1942. The genus Nysius and its allies in the Hawaiian Islands (Hemiptera, Lygaeidae, Orsillini). Bull. Bishop Mus.	Animalia	species	Usinger, 1942	ICZN	valid			2016-11-08T15:21:00
1210280	1210280	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487308	1210280	1220388	Nysius erythynus	Fernando. 1960. New species of insects from Ceylon. New species of insects from Ceylon. Spolia zeylan. 3(2):235-242	Animalia	species	Fernando, 1960	ICZN	valid			2016-11-08T15:21:00
1210281	1210281	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487306	1210281	1220388	Nysius ephippiatus	Spinola, M. 1852. Hemipteros: In Gay, Historia de Chile zoologica 7:113-320. In Gay, Historia de Chile zoologica	Animalia	species	(Spinola, 1852)	ICZN	valid			2016-11-08T15:21:00
1210282	1210282	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487305	1210282	1220388	Nysius suffusus	Usinger, R.L. 1942. The genus Nysius and its allies in the Hawaiian Islands (Hemiptera, Lygaeidae, Orsillini). Bull. Bishop Mus.	Animalia	species	Usinger, 1942	ICZN	valid			2016-11-08T15:21:00
1210283	1210283	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487304	1210283	1220388	Nysius terrestris	Usinger, R.L. 1942. The genus Nysius and its allies in the Hawaiian Islands (Hemiptera, Lygaeidae, Orsillini). Bull. Bishop Mus.	Animalia	species	Usinger, 1942	ICZN	valid			2016-11-08T15:21:00
1210284	1210284	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487684	1210284	1209959	Darwinysius marginalis	Dallas, W.S. 1852. List of the specimens of Hemipterous insects in the collection of the British Museum. List of the specimens of Hemipterous insects in the collection of the British Museum. Part. II., Taylor & Francis Inc., London 2:369-592	Animalia	species	(Dallas, 1852)	ICZN	valid			2016-11-08T15:20:00
1210285	1210285	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487687	1210284	1209959	Cymus galapagensis	Stal, C. 1859. Hemiptera species novas descriptsit. Konglika Svenska Fregattens Eugenies resa omkring jorden. III. Hemiptera species novas descriptsit. Konglika Svenska Fregattens Eugenies resa omkring jorden. III (Zoologi, Insekter) 219-298	Animalia	species	Stal, 1859	ICZN	junior synonym			2016-11-08T15:20:00
1210286	1210286	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487303	1210286	1220388	Nysius simulans	Stal, C. 1859. Hemiptera species novas descriptsit. Konglika Svenska Fregattens Eugenies resa omkring jorden. III. Hemiptera species novas descriptsit. Konglika Svenska Fregattens Eugenies resa omkring jorden. III (Zoologi, Insekter) 219-298	Animalia	species	Stal, 1859	ICZN	valid			2016-11-08T15:21:00
1210287	1210287	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487295	1210287	1220388	Nysius thymi	Wolff. 1804.	Animalia	species	(Wolff, 1804)	ICZN	valid			2016-11-18T09:00:00
1210288	1210288	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487294	1210288	1220388	Nysius huttoni	White, F.B. 1878. List of the Hemiptera of New Zealand. Entomologist’s Monthly Magazine (Ent. mon. Mag.) 15:31-34, 73-76, 130-133, 159-161	Animalia	species	White, 1878	ICZN	valid			2016-11-08T15:21:00
1210289	1210289	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487292	1210289	1220388	Nysius convexus	Usinger, R.L. 1942. The Orsillini of New Zealand (Hemiptera: Lygaeidae). Trans. Proc. roy. Soc. N.Z.	Animalia	species	(Usinger, 1942)	ICZN	valid			2016-11-08T15:21:00
1210290	1210290	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487291	1210290	1220388	Nysius melanicus	Distant, W.L. 1909. Rhynchotal notes. XLVII. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1909	ICZN	valid			2016-11-08T15:21:00
1210291	1210291	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487289	1210291	1220388	Nysius angustatus	Uhler, P.R. 1872. Notices of the Hemiptera of the western territories of the United States chiefly from the surveys of Dr. F. V. Hayden. In: Hayden, Prelim. Rep. U. S. geol. Survey. Mont.	Animalia	species	Uhler, 1872	ICZN	valid			2016-11-18T08:51:00
1210292	1210292	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487290	1210291	1220388	Nysius coloradensis	Baker, C.F. 1906. Notes on the Nysius & Ortholomus of America. Invert. pacif.	Animalia	species	Baker, 1906	ICZN	junior synonym			2016-11-08T15:21:00
1210293	1210293	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487288	1210293	1220388	Nysius longicollis	Blackburn. 1889. Notes on the Hemiptera of the Hawaiian Islands. Proc. Linn. Soc. N.S.W. (for	Animalia	species	Blackburn, 1889	ICZN	valid			2016-11-08T15:21:00
1210294	1210294	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487287	1210294	1220388	Nysius spectabilis	Distant, W.L. 1901. Rhynchotal notes. XI. Heteroptera: Fam. Lygaeidae. Ann. Mag. Nat. Hist.	Animalia	species	Distant, 1901	ICZN	valid			2016-11-08T15:21:00
1210295	1210295	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487286	1210295	1220388	Nysius picipes	Usinger, R.L. 1937. Two new Pacific island species of Nysius (Lygaeidae, Hemiptera). Proc. Hawaii. Ent. Soc.	Animalia	species	Usinger, 1937	ICZN	valid			2016-11-08T15:21:00
1210296	1210296	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487285	1210296	1220388	Nysius plebeius	Distant, W.L. 1883. First report on the Rhynchota collected in Japan by Mr. George Lewis. Trans. R. ent. Soc. Lond.	Animalia	species	Distant, 1883	ICZN	valid			2016-11-08T15:21:00
1210297	1210297	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487284	1210297	1220388	Nysius nihoae	Usinger, R.L. 1942. The genus Nysius and its allies in the Hawaiian Islands (Hemiptera, Lygaeidae, Orsillini). Bull. Bishop Mus.	Animalia	species	Usinger, 1942	ICZN	valid			2016-11-08T15:21:00
1210298	1210298	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487283	1210298	1220388	Nysius feuerborni	China, W.E. 1935. CVII. The terrestrial Hemiptera of the German Limnological Sunda-Expedition. Ark. Hydrobiol. Supp. Bd.	Animalia	species	China, 1935	ICZN	valid			2016-11-08T15:21:00
1210299	1210299	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487182	1210217	1220565	Nysius albidus	Dallas, W.S. 1852. List of the specimens of Hemipterous insects in the collection of the British Museum. List of the specimens of Hemipterous insects in the collection of the British Museum. Part. II., Taylor & Francis Inc., London 2:369-592	Animalia	species	Dallas, 1852	ICZN	junior synonym			2016-11-10T06:42:00
1210300	1210300	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487281	1210300	1220388	Nysius euphorbiae	Horvath, G. 1910. Notes sur le genre Nysius Dall. Ann. hist.-nat. Mus. hung.	Animalia	species	Horvath, 1910	ICZN	valid			2016-11-08T15:21:00
1210301	1210301	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487280	1210301	1220388	Nysius sanctaehelenae	White, F.B. 1877. Abnormal antennae in Hemiptera. Entomologist’s Monthly Magazine (Ent. mon. Mag.)	Animalia	species	White, 1877	ICZN	valid			2016-11-08T15:21:00
1210304	1210304	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487662	1210304	1209963	Xyonysius volxemi	Distant, W.L. 1888. Enumeration of the Van Volxem collection of Rhynchota contained in the Brussel's Museum. Part III. Annales de la Société Entomologique de Belgique. (Ann. Soc. ent. Belg.)	Animalia	species	(Distant, 1888)	ICZN	valid			2016-11-08T15:20:00
1210305	1210305	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487278	1210305	1220388	Nysius baeckstroemi	Bergroth, E. 1923. Hemiptera from Juan Fernandez & Easter Island. The Nat. Hist. of J. Fernandez & Easter Island. Ed. by Dr. Carl Skottsberg	Animalia	species	Bergroth, 1923	ICZN	valid			2016-11-08T15:21:00
1210306	1210306	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487277	1210306	1220388	Nysius stratus	Scudder, S.H. 1890. The tertiary insects of North America. Rept. U.S. Geol. Surv. Terr.	Animalia	species	Scudder, 1890	ICZN	valid			2016-08-23T13:34:00
1210307	1210307	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487276	1210307	1220388	Nysius terrae	Scudder, S.H. 1890. The tertiary insects of North America. Rept. U.S. Geol. Surv. Terr.	Animalia	species	Scudder, 1890	ICZN	valid			2016-08-23T13:34:00
1210308	1210308	urn:lsid:Lygaeoidea.speciesfile.org:TaxonName:487275	1210308	1220388	Nysius tritus	Scudder, S.H. 1890. The tertiary insects of North America. Rept. U.S. Geol. Surv. Terr.	Animalia	species	Scudder, 1890	ICZN	valid			2016-08-23T13:35:00
