id	description	type
1208394	Terrestrial.	habitat
1208395	Terrestrial.	habitat
1208396	Terrestrial.	habitat
1208397	Terrestrial.	habitat
1208398	Terrestrial.	habitat
1208399	Terrestrial.	habitat
1208400	Terrestrial.	habitat
1208401	Terrestrial.	habitat
1208402	Terrestrial.	habitat
1208403	Terrestrial.	habitat
1208404	Terrestrial.	habitat
1208405	Terrestrial.	habitat
1208406	Terrestrial.	habitat
1208407	Terrestrial.	habitat
1208408	Terrestrial.	habitat
1208409	Terrestrial.	habitat
1208411	Terrestrial.	habitat
1208412	Terrestrial.	habitat
1208413	Terrestrial.	habitat
1208414	Terrestrial.	habitat
1208415	Terrestrial.	habitat
1208416	Terrestrial.	habitat
1208417	Terrestrial.	habitat
1208418	Terrestrial.	habitat
1208419	Terrestrial.	habitat
1208420	Terrestrial.	habitat
1208421	Terrestrial.	habitat
1208422	Terrestrial.	habitat
1208423	Terrestrial.	habitat
1208424	Terrestrial.	habitat
1208425	Terrestrial.	habitat
1208426	Terrestrial.	habitat
1208429	Terrestrial.	habitat
1208430	Terrestrial.	habitat
1208431	Terrestrial.	habitat
1208432	Terrestrial.	habitat
1208433	Terrestrial.	habitat
1208434	Terrestrial.	habitat
1208435	Terrestrial.	habitat
1208436	Terrestrial.	habitat
1208438	Terrestrial.	habitat
1208439	Terrestrial.	habitat
1208440	Terrestrial.	habitat
1208441	Terrestrial.	habitat
1208442	Terrestrial.	habitat
1208443	Terrestrial.	habitat
1208444	Terrestrial.	habitat
1208445	Terrestrial.	habitat
1208446	Terrestrial.	habitat
1208448	Terrestrial.	habitat
1208449	Terrestrial.	habitat
1208450	Terrestrial.	habitat
1208451	Terrestrial.	habitat
1208452	Terrestrial.	habitat
1208453	Terrestrial.	habitat
1208454	Terrestrial.	habitat
1208455	Terrestrial.	habitat
1208456	Terrestrial.	habitat
1208457	Terrestrial.	habitat
1208458	Terrestrial.	habitat
1208459	Terrestrial.	habitat
1208460	Terrestrial.	habitat
1208461	Terrestrial.	habitat
1208462	Terrestrial.	habitat
1208464	Terrestrial.	habitat
1208466	Terrestrial.	habitat
1208467	Terrestrial.	habitat
1208502	Terrestrial.	habitat
1208503	Terrestrial.	habitat
1208504	Terrestrial.	habitat
1208505	Terrestrial.	habitat
1208506	Terrestrial.	habitat
1208507	Terrestrial.	habitat
1208508	Terrestrial.	habitat
1208509	Terrestrial.	habitat
1208510	Terrestrial.	habitat
1208511	Terrestrial.	habitat
1208512	Terrestrial.	habitat
1208513	Terrestrial.	habitat
1208514	Terrestrial.	habitat
1208515	Terrestrial.	habitat
1208516	Terrestrial.	habitat
1208517	Terrestrial.	habitat
1208518	Terrestrial.	habitat
1208519	Terrestrial.	habitat
1208520	Terrestrial.	habitat
1208521	Terrestrial.	habitat
1208522	Terrestrial.	habitat
1208523	Terrestrial.	habitat
1208524	Terrestrial.	habitat
1208525	Terrestrial.	habitat
1208526	Terrestrial.	habitat
1208527	Terrestrial.	habitat
1208528	Terrestrial.	habitat
1208529	Terrestrial.	habitat
1208530	Terrestrial.	habitat
1208532	Terrestrial.	habitat
1208533	Terrestrial.	habitat
1208534	Terrestrial.	habitat
1208535	Terrestrial.	habitat
1208536	Terrestrial.	habitat
1208537	Terrestrial.	habitat
1208538	Terrestrial.	habitat
1208539	Terrestrial.	habitat
1208540	Terrestrial.	habitat
1208541	Terrestrial.	habitat
1208542	Terrestrial.	habitat
1208543	Terrestrial.	habitat
1208545	Terrestrial.	habitat
1208546	Terrestrial.	habitat
1208548	Terrestrial.	habitat
1208550	Terrestrial.	habitat
1208552	Terrestrial.	habitat
1208554	Terrestrial.	habitat
1208556	Terrestrial.	habitat
1208558	Terrestrial.	habitat
1208560	Terrestrial.	habitat
1208562	Terrestrial.	habitat
1208564	Terrestrial.	habitat
1208566	Terrestrial.	habitat
1208567	Terrestrial.	habitat
1208568	Terrestrial.	habitat
1208588	Terrestrial.	habitat
1208589	Terrestrial.	habitat
1208590	Terrestrial.	habitat
1208591	Terrestrial.	habitat
1208592	Terrestrial.	habitat
1208593	Terrestrial.	habitat
1208594	Terrestrial.	habitat
1208595	Terrestrial.	habitat
1208596	Terrestrial.	habitat
1208597	Terrestrial.	habitat
1208598	Terrestrial.	habitat
1208599	Terrestrial.	habitat
1208600	Terrestrial.	habitat
1208601	Terrestrial.	habitat
1208602	Terrestrial.	habitat
1208604	Terrestrial.	habitat
1208605	Terrestrial.	habitat
1208606	Terrestrial.	habitat
1208607	Terrestrial.	habitat
1208608	Terrestrial.	habitat
1208609	Terrestrial.	habitat
1208610	Terrestrial.	habitat
1208612	Terrestrial.	habitat
1208613	Terrestrial.	habitat
1208614	Terrestrial.	habitat
1208615	Terrestrial.	habitat
1208616	Terrestrial.	habitat
1208617	Terrestrial.	habitat
1208618	Terrestrial.	habitat
1208619	Terrestrial.	habitat
1208620	Terrestrial.	habitat
1208621	Terrestrial.	habitat
1208622	Terrestrial.	habitat
1208623	Terrestrial.	habitat
1208624	Terrestrial.	habitat
1208625	Terrestrial.	habitat
1208626	Terrestrial.	habitat
1208627	Terrestrial.	habitat
1208629	Terrestrial.	habitat
1208630	Terrestrial.	habitat
1208631	Terrestrial.	habitat
1208632	Terrestrial.	habitat
1208633	Terrestrial.	habitat
1208634	Terrestrial.	habitat
1208635	Terrestrial.	habitat
1208636	Terrestrial.	habitat
1208637	Terrestrial.	habitat
1208639	Terrestrial.	habitat
1208641	Terrestrial.	habitat
1208642	Terrestrial.	habitat
1208643	Terrestrial.	habitat
1208644	Terrestrial.	habitat
1208645	Terrestrial.	habitat
1208646	Terrestrial.	habitat
1208653	Terrestrial.	habitat
1208654	Terrestrial.	habitat
1208655	Terrestrial.	habitat
1208656	Terrestrial.	habitat
1208657	Terrestrial.	habitat
1208658	Terrestrial.	habitat
1208659	Terrestrial.	habitat
1208660	Terrestrial.	habitat
1208661	Terrestrial.	habitat
1208662	Terrestrial.	habitat
1208663	Terrestrial.	habitat
1208664	Terrestrial.	habitat
1208665	Terrestrial.	habitat
1208666	Terrestrial.	habitat
1208667	Terrestrial.	habitat
1208668	Terrestrial.	habitat
1208669	Terrestrial.	habitat
1208670	Terrestrial.	habitat
1208671	Terrestrial.	habitat
1208672	Terrestrial.	habitat
1208673	Terrestrial.	habitat
1208674	Terrestrial.	habitat
1208675	Terrestrial.	habitat
1208676	Terrestrial.	habitat
1208677	Terrestrial.	habitat
1208678	Terrestrial.	habitat
1208679	Terrestrial.	habitat
1208680	Terrestrial.	habitat
1208681	Terrestrial.	habitat
1208682	Terrestrial.	habitat
1208683	Terrestrial.	habitat
1208684	Terrestrial.	habitat
1208685	Terrestrial.	habitat
1208686	Terrestrial.	habitat
1208687	Terrestrial.	habitat
1208688	Terrestrial.	habitat
1208689	Terrestrial.	habitat
1208690	Terrestrial.	habitat
1208692	Terrestrial.	habitat
1208693	Terrestrial.	habitat
1208695	Terrestrial.	habitat
1208696	Terrestrial.	habitat
1208697	Terrestrial.	habitat
1208698	Terrestrial.	habitat
1208699	Terrestrial.	habitat
1208700	Terrestrial.	habitat
1208701	Terrestrial.	habitat
1208702	Terrestrial.	habitat
1208703	Terrestrial.	habitat
1208704	Terrestrial.	habitat
1208705	Terrestrial.	habitat
1208706	Terrestrial.	habitat
1208707	Terrestrial.	habitat
1208708	Terrestrial.	habitat
1208709	Terrestrial.	habitat
1208710	Terrestrial.	habitat
1208711	Terrestrial.	habitat
1208712	Terrestrial.	habitat
1208713	Terrestrial.	habitat
1208714	Terrestrial.	habitat
1208715	Terrestrial.	habitat
1208716	Terrestrial.	habitat
1208717	Terrestrial.	habitat
1208718	Terrestrial.	habitat
1208719	Terrestrial.	habitat
1208720	Terrestrial.	habitat
1208721	Terrestrial.	habitat
1208722	Terrestrial.	habitat
1208723	Terrestrial.	habitat
1208724	Terrestrial.	habitat
1208725	Terrestrial.	habitat
1208726	Terrestrial.	habitat
1208727	Terrestrial.	habitat
1208728	Terrestrial.	habitat
1208729	Terrestrial.	habitat
1208731	Terrestrial.	habitat
1208732	Terrestrial.	habitat
1208733	Terrestrial.	habitat
1208734	Terrestrial.	habitat
1208735	Terrestrial.	habitat
1208737	Terrestrial.	habitat
1208738	Terrestrial.	habitat
1208739	Terrestrial.	habitat
1208740	Terrestrial.	habitat
1208741	Terrestrial.	habitat
1208742	Terrestrial.	habitat
1208743	Terrestrial.	habitat
1208745	Terrestrial.	habitat
1208746	Terrestrial.	habitat
1208747	Terrestrial.	habitat
1208748	Terrestrial.	habitat
1208749	Terrestrial.	habitat
1208751	Terrestrial.	habitat
1208752	Terrestrial.	habitat
1208753	Terrestrial.	habitat
1208754	Terrestrial.	habitat
1208755	Terrestrial.	habitat
1208756	Terrestrial.	habitat
1208765	Terrestrial.	habitat
1208766	Terrestrial.	habitat
1208767	Terrestrial.	habitat
1208768	Terrestrial.	habitat
1208769	Terrestrial.	habitat
1208770	Terrestrial.	habitat
1208771	Terrestrial.	habitat
1208772	Terrestrial.	habitat
1208773	Terrestrial.	habitat
1208774	Terrestrial.	habitat
1208775	Terrestrial.	habitat
1208776	Terrestrial.	habitat
1208777	Terrestrial.	habitat
1208778	Terrestrial.	habitat
1208779	Terrestrial.	habitat
1208780	Terrestrial.	habitat
1208781	Terrestrial.	habitat
1208782	Terrestrial.	habitat
1208791	Terrestrial.	habitat
1208793	Terrestrial.	habitat
1208794	Terrestrial.	habitat
1208796	Terrestrial.	habitat
1208797	Terrestrial.	habitat
1208799	Terrestrial.	habitat
1208800	Terrestrial.	habitat
1208801	Terrestrial.	habitat
1208802	Terrestrial.	habitat
1208803	Terrestrial.	habitat
1208804	Terrestrial.	habitat
1208805	Terrestrial.	habitat
1208806	Terrestrial.	habitat
1208808	Terrestrial.	habitat
1208809	Terrestrial.	habitat
1208810	Terrestrial.	habitat
1208811	Terrestrial.	habitat
1208812	Terrestrial.	habitat
1208813	Terrestrial.	habitat
1208814	Terrestrial.	habitat
1208815	Terrestrial.	habitat
1208816	Terrestrial.	habitat
1208817	Terrestrial.	habitat
1208818	Terrestrial.	habitat
1208819	Terrestrial.	habitat
1208821	Terrestrial.	habitat
1208822	Terrestrial.	habitat
1208824	Terrestrial.	habitat
1208825	Terrestrial.	habitat
1208827	Terrestrial.	habitat
1208828	Terrestrial.	habitat
1208831	Terrestrial.	habitat
1208832	Terrestrial.	habitat
1208833	Terrestrial.	habitat
1208834	Terrestrial.	habitat
1208835	Terrestrial.	habitat
1208836	Terrestrial.	habitat
1208837	Terrestrial.	habitat
1208838	Terrestrial.	habitat
1208839	Terrestrial.	habitat
1208840	Terrestrial.	habitat
1208841	Terrestrial.	habitat
1208842	Terrestrial.	habitat
1208843	Terrestrial.	habitat
1208844	Terrestrial.	habitat
1208846	Terrestrial.	habitat
1208848	Terrestrial.	habitat
1208850	Terrestrial.	habitat
1208852	Terrestrial.	habitat
1208854	Terrestrial.	habitat
1208857	Terrestrial.	habitat
1208858	Terrestrial.	habitat
1208859	Terrestrial.	habitat
1208860	Terrestrial.	habitat
1208861	Terrestrial.	habitat
1208862	Terrestrial.	habitat
1208863	Terrestrial.	habitat
1208864	Terrestrial.	habitat
1208866	Terrestrial.	habitat
1208867	Terrestrial.	habitat
1208869	Terrestrial.	habitat
1208871	Terrestrial.	habitat
1208873	Terrestrial.	habitat
1208875	Terrestrial.	habitat
1208877	Terrestrial.	habitat
1208879	Terrestrial.	habitat
1208882	Terrestrial.	habitat
1208883	Terrestrial.	habitat
1208884	Terrestrial.	habitat
1208885	Terrestrial.	habitat
1208886	Terrestrial.	habitat
1208887	Terrestrial.	habitat
1208888	Terrestrial.	habitat
1208889	Terrestrial.	habitat
1208891	Terrestrial.	habitat
1208892	Terrestrial.	habitat
1208893	Terrestrial.	habitat
1208894	Terrestrial.	habitat
1208896	Terrestrial.	habitat
1208897	Terrestrial.	habitat
1208898	Terrestrial.	habitat
1208900	Terrestrial.	habitat
1208902	Terrestrial.	habitat
1208903	Terrestrial.	habitat
1208904	Terrestrial.	habitat
1208905	Terrestrial.	habitat
1208906	Terrestrial.	habitat
1208907	Terrestrial.	habitat
1208908	Terrestrial.	habitat
1208910	Terrestrial.	habitat
1208911	Terrestrial.	habitat
1208913	Terrestrial.	habitat
1208915	Terrestrial.	habitat
1208917	Terrestrial.	habitat
1208919	Terrestrial.	habitat
1208921	Terrestrial.	habitat
1208923	Terrestrial.	habitat
1208924	Terrestrial.	habitat
1208925	Terrestrial.	habitat
1208926	Terrestrial.	habitat
1208927	Terrestrial.	habitat
1208929	Terrestrial.	habitat
1208932	Terrestrial.	habitat
1208933	Terrestrial.	habitat
1208934	Terrestrial.	habitat
1208935	Terrestrial.	habitat
1208936	Terrestrial.	habitat
1208937	Terrestrial.	habitat
1208938	Terrestrial.	habitat
1208940	Terrestrial.	habitat
1208941	Terrestrial.	habitat
1208942	Terrestrial.	habitat
1208943	Terrestrial.	habitat
1208944	Terrestrial.	habitat
1208945	Terrestrial.	habitat
1208946	Terrestrial.	habitat
1208947	Terrestrial.	habitat
1208948	Terrestrial.	habitat
1208949	Terrestrial.	habitat
1208950	Terrestrial.	habitat
1208951	Terrestrial.	habitat
1208952	Terrestrial.	habitat
1208953	Terrestrial.	habitat
1208954	Terrestrial.	habitat
1208956	Terrestrial.	habitat
1208958	Terrestrial.	habitat
1208959	Terrestrial.	habitat
1208960	Terrestrial.	habitat
1208961	Terrestrial.	habitat
1208962	Terrestrial.	habitat
1208963	Terrestrial.	habitat
1208964	Terrestrial.	habitat
1208965	Terrestrial.	habitat
1208966	Terrestrial.	habitat
1208968	Terrestrial.	habitat
1208969	Terrestrial.	habitat
1208972	Terrestrial.	habitat
1208974	Terrestrial.	habitat
1208975	Terrestrial.	habitat
1208976	Terrestrial.	habitat
1208978	Terrestrial.	habitat
1208979	Terrestrial.	habitat
1208980	Terrestrial.	habitat
1208981	Terrestrial.	habitat
1208982	Terrestrial.	habitat
1208983	Terrestrial.	habitat
1208985	Terrestrial.	habitat
1208986	Terrestrial.	habitat
1208987	Terrestrial.	habitat
1208988	Terrestrial.	habitat
1208990	Terrestrial.	habitat
1208992	Terrestrial.	habitat
1208993	Terrestrial.	habitat
1208994	Terrestrial.	habitat
1208995	Terrestrial.	habitat
1208996	Terrestrial.	habitat
1208997	Terrestrial.	habitat
1208998	Terrestrial.	habitat
1208999	Terrestrial.	habitat
1209001	Terrestrial.	habitat
1209005	Terrestrial.	habitat
1209006	Terrestrial.	habitat
1209007	Terrestrial.	habitat
1209010	Terrestrial.	habitat
1209011	Terrestrial.	habitat
1209012	Terrestrial.	habitat
1209013	Terrestrial.	habitat
1209014	Terrestrial.	habitat
1209015	Terrestrial.	habitat
1209016	Terrestrial.	habitat
1209017	Terrestrial.	habitat
1209018	Terrestrial.	habitat
1209019	Terrestrial.	habitat
1209020	Terrestrial.	habitat
1209021	Terrestrial.	habitat
1209022	Terrestrial.	habitat
1209023	Terrestrial.	habitat
1209024	Terrestrial.	habitat
1209025	Terrestrial.	habitat
1209026	Terrestrial.	habitat
1209027	Terrestrial.	habitat
1209028	Terrestrial.	habitat
1209029	Terrestrial.	habitat
1209030	Terrestrial.	habitat
1209031	Terrestrial.	habitat
1209032	Terrestrial.	habitat
1209033	Terrestrial.	habitat
1209035	Terrestrial.	habitat
1209036	Terrestrial.	habitat
1209037	Terrestrial.	habitat
1209038	Terrestrial.	habitat
1209039	Terrestrial.	habitat
1209040	Terrestrial.	habitat
1209042	Terrestrial.	habitat
1209044	Terrestrial.	habitat
1209046	Terrestrial.	habitat
1209048	Terrestrial.	habitat
1209051	Terrestrial.	habitat
1209053	Terrestrial.	habitat
1209054	Terrestrial.	habitat
1209055	Terrestrial.	habitat
1209056	Terrestrial.	habitat
1209057	Terrestrial.	habitat
1209058	Terrestrial.	habitat
1209060	Terrestrial.	habitat
1209062	Terrestrial.	habitat
1209063	Terrestrial.	habitat
1209064	Terrestrial.	habitat
1209065	Terrestrial.	habitat
1209066	Terrestrial.	habitat
1209067	Terrestrial.	habitat
1209068	Terrestrial.	habitat
1209069	Terrestrial.	habitat
1209070	Terrestrial.	habitat
1209072	Terrestrial.	habitat
1209073	Terrestrial.	habitat
1209074	Terrestrial.	habitat
1209075	Terrestrial.	habitat
1209077	Terrestrial.	habitat
1209079	Terrestrial.	habitat
1209081	Terrestrial.	habitat
1209082	Terrestrial.	habitat
1209084	Terrestrial.	habitat
1209086	Terrestrial.	habitat
1209087	Terrestrial.	habitat
1209088	Terrestrial.	habitat
1209089	Terrestrial.	habitat
1209090	Terrestrial.	habitat
1209092	Terrestrial.	habitat
1209093	Terrestrial.	habitat
1209095	Terrestrial.	habitat
1209179	Terrestrial.	habitat
1209199	Terrestrial.	habitat
1209200	Terrestrial.	habitat
1209201	Terrestrial.	habitat
1209202	Terrestrial.	habitat
1209203	Terrestrial.	habitat
1209204	Terrestrial.	habitat
1209205	Terrestrial.	habitat
1209207	Terrestrial.	habitat
1209208	Terrestrial.	habitat
1209209	Terrestrial.	habitat
1209210	Terrestrial.	habitat
1209211	Terrestrial.	habitat
1209212	Terrestrial.	habitat
1209213	Terrestrial.	habitat
1209215	Terrestrial.	habitat
1209219	Terrestrial.	habitat
1209220	Terrestrial.	habitat
1209221	Terrestrial.	habitat
1209223	Terrestrial.	habitat
1209224	Terrestrial.	habitat
1209231	Terrestrial.	habitat
1209232	Terrestrial.	habitat
1209234	Terrestrial.	habitat
1209235	Terrestrial.	habitat
1209236	Terrestrial.	habitat
1209237	Terrestrial.	habitat
1209238	Terrestrial.	habitat
1209239	Terrestrial.	habitat
1209240	Terrestrial.	habitat
1209241	Terrestrial.	habitat
1209242	Terrestrial.	habitat
1209243	Terrestrial.	habitat
1209244	Terrestrial.	habitat
1209245	Terrestrial.	habitat
1209246	Terrestrial.	habitat
1209249	Terrestrial.	habitat
1209250	Terrestrial.	habitat
1209251	Terrestrial.	habitat
1209252	Terrestrial.	habitat
1209253	Terrestrial.	habitat
