id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	kingdom	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1220595	1220595	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469068	1220595	1220584	Austrophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220596	1220596	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469066	1223802	1220584	Lobophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	synonym	invalidum		2015-12-02T11:43:00
1220597	1220597	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469064	1220597	1220584	Hemilobophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220598	1220598	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469061	1220598	1220584	Karoophasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220599	1220599	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469059	1220599	1220584	Namaquaphasma	Klass, Picker, Damgaard, van Noort & Tojo. 2003. The Taxonomy, Genitalic Morphology, and Phylogenetic Relationships of Southern African Mantophasmatodea (Insecta). Entomologische Abhandlungen 61(1):3-67	Animalia	genus	Klass, Picker, Damgaard, van Noort & Tojo, 2003	ICZN	valid			2015-12-02T11:43:00
1220600	1220600	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469050	1220600	1220585	Raptophasma kerneggeri	Zompro. 2001. The Phasmatodea and Raptophasma n. gen., Orthoptera incertae sedis, in Baltic Amber (Insecta: Orthoptera). Mitteilungen des Geologisch-Paläontologischen Institutes der Universität Hamburg (Mitt. Geol. Paläont. Inst. Univ. Hamb.) 85:229-261	Animalia	species	Zompro, 2001	ICZN	valid			2013-07-20T16:40:00
1220601	1220601	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469049	1220601	1220585	Raptophasma groehni	Zompro. 2008. Raptophasma groehni n. sp., a new species of gladiator from Baltic amber (Insecta: Mantophasmatodea: Mantophasmatidae). Arthropoda 16(1):26-27	Animalia	species	Zompro, 2008	ICZN	valid			2013-07-20T16:40:00
1220602	1220602	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469086	1220602	1220590	Mantophasma zephyra	Zompro, Klass, Kristensen & Adis. 2002. In Klass, Zompro, Kristensen & Adis. Mantophasmatodea: A New Insect Order with Extant Members in the Afrotropics. Science 296	Animalia	species	Zompro, Klass, Kristensen & Adis, 2002	ICZN	valid			2015-12-02T11:43:00
1220603	1220603	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469085	1220603	1220590	Mantophasma gamsbergense	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Animalia	species	Zompro & Adis, 2006	ICZN	valid			2015-12-02T11:43:00
1220604	1220604	urn:lsid:Mantophasmatodea.speciesfile.org:TaxonName:469084	1220604	1220590	Mantophasma kudubergense	Zompro & Adis. 2006. Notes on Namibian Mantophasma Zompro, Klass, Kristensen & Adis, 2002, with descriptions of three new species (Insecta: Mantophasmatodea: Mantophasmatidae: Mantophasmatini). Russian Entomological Journal (Russ.Entomol.J.) 15(1):21-24	Animalia	species	Zompro & Adis, 2006	ICZN	valid			2015-12-02T11:43:00
