id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1178740	1178740	urn:lsid:Blattodea.speciesfile.org:TaxonName:512	1178740	1178565	Eumethana	Princis. 1951. Neue und wenig bekannte Blattarien aus dem Zoologischen Museum, Kopenhagen. Spolia Mus. Zool. Hauniensis 12:5-72	genus	Princis, 1951	valid			2015-11-18T16:29:00
1178741	1178741	urn:lsid:Blattodea.speciesfile.org:TaxonName:513	1178741	1178740	Eumethana cavernicola	Chopard. 1919. Zoological results of a tour in the far East.   Les orthoptéres cavernicoles de Birmanie et la Peninsule Malaise. Mem. Asiat. Soc., Bengal 6:339-396, pls 12-14	species	(Chopard, 1919)	valid			2016-04-09T14:42:00
1178742	1178742	urn:lsid:Blattodea.speciesfile.org:TaxonName:515	1178741	1178740	Eumethana sumatrensis	Princis. 1951. Neue und wenig bekannte Blattarien aus dem Zoologischen Museum, Kopenhagen. Spolia Mus. Zool. Hauniensis 12:5-72	species	Princis, 1951	junior synonym			2015-11-18T16:29:00
1178743	1178743	urn:lsid:Blattodea.speciesfile.org:TaxonName:473	1178743	1178565	Hebardina	Bei-Bienko. 1938. On some new or interesting Asiatic Blattodea. Annals and Magazine of Natural History (Ann. Mag. nat. Hist.) 11 1:230-238	genus	Bei-Bienko, 1938	valid	novum		2016-04-13T08:35:00
1178744	1178744	urn:lsid:Blattodea.speciesfile.org:TaxonName:510	1178744	1178743	Hebardina agaboides	Gerstaecker. 1883. Mittheil. naturw. Ver. Neu-Vorpomm. u. Rugen 14	species	(Gerstaecker, 1883)	valid			2014-04-16T13:54:00
1178745	1178745	urn:lsid:Blattodea.speciesfile.org:TaxonName:508	1178745	1178743	Hebardina assiniensis	Bolívar. 1893. Voyage de M. Ch. Alluaud dans le territoire d'Assinie (Afrique occidentale) en juillet et août 1886. Orthoptères. Annales de la Société Entomologique de France (Annls Soc. ent. Fr.) 62:169-184	species	(Bolívar, 1893)	valid			2016-01-06T10:05:00
1178746	1178746	urn:lsid:Blattodea.speciesfile.org:TaxonName:505	1178746	1178743	Hebardina concinna	Haan. 1842. In Temminck [Ed.]. Verhand. natuurl. Geschied. Nederl. overz. Besitt. 16, Zool. No. 6, Leiden	species	(Haan, 1842)	valid			2016-04-13T08:35:00
1178747	1178747	urn:lsid:Blattodea.speciesfile.org:TaxonName:507	1178746	1178743	Periplaneta borrei	Saussure. 1873.	species	Saussure, 1873	junior synonym			2013-07-20T16:40:00
1178748	1178748	urn:lsid:Blattodea.speciesfile.org:TaxonName:501	1178748	1178743	Hebardina flavilatera	Saussure. 1895. In Grandidier [Ed.].	species	(Saussure, 1895)	valid			2014-04-16T13:54:00
1178749	1178749	urn:lsid:Blattodea.speciesfile.org:TaxonName:503	1178748	1178743	Stylopyga flavilatera castanea	Adelung. 1903. Annuaire du Musée zoologique de l'Académie Impériale des Sciences de St.-Pétersbourg (Ann. Mus. Zool. Ac. Sci. St. Petersbourg.) 8	species	Adelung, 1903	junior synonym			2013-07-20T16:40:00
1178750	1178750	urn:lsid:Blattodea.speciesfile.org:TaxonName:497	1178750	1178743	Hebardina gracilis	Brunner von Wattenwyl. 1893. Annali del Museo civico di storia naturale di Genova (Annali Mus. civ. Stor. nat. Genova) 33	species	(Brunner von Wattenwyl, 1893)	valid			2014-04-16T13:54:00
1178752	1178752	urn:lsid:Blattodea.speciesfile.org:TaxonName:499	1178750	1178743	Hebardina concinna macroptera	Bei-Bienko. 1954. Investigations on Blattoidea from southeast China. Trudy. Arbeiten zool. Inst. Ak. Nauk SSSR 15:5-26	species	Bei-Bienko, 1954	junior synonym		Princis (1966) questions the placement of this taxon.	2015-12-22T16:31:00
1178753	1178753	urn:lsid:Blattodea.speciesfile.org:TaxonName:496	1178753	1178743	Hebardina inconspicua	Princis. 1963. In Hanström, Brinck & Rudebeck [Ed.]. Blattariae. Revision der südafrikanischen Blattarienfauna. South African Animal Life. Results of the Lund University Expedition in 1950-1951, Swedish Natural Resource Council, Stockholm 9:9-318	species	Princis, 1963	valid			2015-05-21T08:13:00
