id	bibliographicCitation	title	creator	date	source	type
1180067	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):174	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180068	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):171	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180068	Anisyutkin. 1995. A new species of Diplatyidae (Dermaptera) from Equatorial Africa. Zoologichesky Zhurnal 74(5):31	A new species of Diplatyidae (Dermaptera) from Equatorial Africa	Anisyutkin	1995	Zoologichesky Zhurnal	combination
1180069	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):171	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180069	Anisyutkin. 2014. Mesodiplatys venado sp. nov. (Dermaptera: Diplatyidae), probable evidence of   contact between Neotropical and Malagasy faunas. Zootaxa 3794(4):594	Mesodiplatys venado sp. nov. (Dermaptera: Diplatyidae), probable evidence of   contact between Neotropical and Malagasy faunas	Anisyutkin	2014	Zootaxa	combination
1180070	Steinmann. 1974. A new generic classification of the species group of Diplatys Serville (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 20(1-2):198	A new generic classification of the species group of Diplatys Serville (Dermaptera: Pygidicranidae)	Steinmann	1974	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180071	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):178	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180072	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):177	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180073	Steinmann. 1986. A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae). Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. ) 32(1-2):175	A new generic classification for the Diplatys species-groups (Dermaptera: Pygidicranidae)	Steinmann	1986	Acta Zoologica Academiae Scientiarum Hungaricae (Acta Zool. Hung. )	original
1180075	Moon & CW Kim. 1985. A review of the Far East Palaearctic genus Challia Burr, including a new species Challia kyusani sp. nov. (Challinae: Dermaptera). Korean Journal of Entomology (Korean J. Ent. ) 15(1):58	A review of the Far East Palaearctic genus Challia Burr, including a new species Challia kyusani sp. nov. (Challinae: Dermaptera)	Moon & CW Kim	1985	Korean Journal of Entomology (Korean J. Ent. )	original
