index	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	taxonRank	taxonomicStatus
Neesioscyphus	Neesioscyphus	Neesioscyphus	Isotachidoideae	Neesioscyphus	genus	accepted
Ruizanthoideae	Ruizanthoideae	Ruizanthoideae	Balantiopsidaceae	Ruizanthoideae	subfamily	not verified
Ruizanthus	Ruizanthus	Ruizanthus	Ruizanthoideae	Ruizanthus	genus	accepted
Blepharidophyllaceae	Blepharidophyllaceae	Blepharidophyllaceae	Jungermanniineae	Blepharidophyllaceae	family	accepted
Blepharidophyllum	Blepharidophyllum	Blepharidophyllum	Blepharidophyllaceae	Blepharidophyllum	genus	accepted
Clandarium	Clandarium	Clandarium	Blepharidophyllaceae	Grolle	genus	accepted
Calypogeiaceae	Calypogeiaceae	Calypogeiaceae	Jungermanniineae	Calypogeiaceae	family	accepted
Calypogeia	Calypogeia	Calypogeia	Calypogeiaceae	Calypogeia	genus	accepted
Eocalypogeia	Eocalypogeia	Eocalypogeia	Calypogeiaceae	Eocalypogeia	genus	accepted
Metacalypogeia	Metacalypogeia	Metacalypogeia	Calypogeiaceae	Metacalypogeia	genus	accepted
Mizutania	Mizutania	Mizutania	Calypogeiaceae	Mizutania	genus	not verified
Mnioloma	Mnioloma	Mnioloma	Calypogeiaceae	Mnioloma	genus	accepted
Endogemmataceae	Endogemmataceae	Endogemmataceae	Jungermanniineae	Endogemmataceae	family	accepted
Endogemma	Endogemma	Endogemma	Endogemmataceae	Endogemma	genus	accepted
Geocalycaceae	Geocalycaceae	Geocalycaceae	Jungermanniineae	Geocalycaceae	family	accepted
Geocalyx	Geocalyx	Geocalyx	Geocalycaceae	Geocalyx	genus	accepted
Gymnomitriaceae	Gymnomitriaceae	Gymnomitriaceae	Jungermanniineae	Gymnomitriaceae	family	accepted
Acrolophozia	Acrolophozia	Acrolophozia	Gymnomitriaceae	Acrolophozia	genus	accepted
Nanomarsupella	Nanomarsupella	Nanomarsupella	Gymnomitriaceae	Nanomarsupella	genus	not verified
Paramomitrion	Paramomitrion	Paramomitrion	Gymnomitriaceae	Paramomitrion	genus	not verified
Gymnomitrioideae	Gymnomitrioideae	Gymnomitrioideae	Gymnomitriaceae	Gymnomitrioideae	subfamily	accepted
Cryptocoleopsis	Cryptocoleopsis	Cryptocoleopsis	Gymnomitrioideae	Cryptocoleopsis	genus	not verified
Gymnomitrion	Gymnomitrion	Gymnomitrion	Gymnomitrioideae	Gymnomitrion	genus	accepted
Marsupella	Marsupella	Marsupella	Gymnomitrioideae	Marsupella	genus	accepted
Poeltia	Poeltia	Poeltia	Gymnomitrioideae	Poeltia	genus	accepted
Prasanthus	Prasanthus	Prasanthus	Gymnomitrioideae	Prasanthus	genus	accepted
Nardioideae	Nardioideae	Nardioideae	Gymnomitriaceae	Nardioideae	subfamily	accepted
Nardia	Nardia	Nardia	Nardioideae	Nardia	genus	accepted
Gyrothyraceae	Gyrothyraceae	Gyrothyraceae	Jungermanniineae	Gyrothyraceae	family	not verified
Gyrothyra	Gyrothyra	Gyrothyra	Gyrothyraceae	Gyrothyra	genus	not verified
Harpanthaceae	Harpanthaceae	Harpanthaceae	Jungermanniineae	Harpanthaceae	family	accepted
Harpanthus	Harpanthus	Harpanthus	Harpanthaceae	Harpanthus	genus	accepted
Hygrobiellaceae	Hygrobiellaceae	Hygrobiellaceae	Jungermanniineae	Hygrobiellaceae	family	not verified
Hygrobiella	Hygrobiella	Hygrobiella	Hygrobiellaceae	Hygrobiella	genus	accepted
Jackiellaceae	Jackiellaceae	Jackiellaceae	Jungermanniineae	Jackiellaceae	family	accepted
Jackiella	Jackiella	Jackiella	Jackiellaceae	Jackiella	genus	accepted
Jungermanniaceae	Jungermanniaceae	Jungermanniaceae	Jungermanniineae	Jungermanniaceae	family	accepted
Delavayelloideae	Delavayelloideae	Delavayelloideae	Jungermanniaceae	Delavayelloideae	subfamily	not verified
Delavayella	Delavayella	Delavayella	Delavayelloideae	Delavayella	genus	not verified
Liochlaena	Liochlaena	Liochlaena	Delavayelloideae	Liochlaena	genus	not verified
Jungermannioideae	Jungermannioideae	Jungermannioideae	Jungermanniaceae	Jungermannioideae	subfamily	not verified
Eremonotus	Eremonotus	Eremonotus	Jungermannioideae	Eremonotus	genus	not verified
Jungermannia	Jungermannia	Jungermannia	Jungermannioideae	Jungermannia	genus	accepted
Mesoptychioideae	Mesoptychioideae	Mesoptychioideae	Jungermanniaceae	Mesoptychioideae	subfamily	not verified
Mesoptychia	Mesoptychia	Mesoptychia	Mesoptychioideae	Mesoptychia	genus	accepted
Rivulariella	Rivulariella	Rivulariella	Mesoptychioideae	Rivulariella	genus	not verified
Notoscyphaceae	Notoscyphaceae	Notoscyphaceae	Jungermanniineae	Notoscyphaceae	family	not verified
Notoscyphus	Notoscyphus	Notoscyphus	Notoscyphaceae	Notoscyphus	genus	accepted
Saccogynaceae	Saccogynaceae	Saccogynaceae	Jungermanniineae	Saccogynaceae	family	not verified
Saccogyna	Saccogyna	Saccogyna	Saccogynaceae	Saccogyna	genus	accepted
