id	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	namePublishedIn	taxonRank	scientificNameAuthorship	taxonomicStatus	nomenclaturalStatus	taxonRemarks	modified
1191477	1191477	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452313	1191474	1191464	Corizus parumpunctatus extrema	Priesner. 1926. Prodromus zur (Hemipterenfauna von Oberösterreich). I. Teil. Zeitschrift für Wissenschaftliche Insektenbiologie 21:159-173	species	Priesner, 1926	junior synonym			2016-05-10T12:22:00
1191478	1191478	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452312	1191474	1191464	Rhopalus parumpunctatus singeri		species	Wagner, 1939	junior synonym			2016-05-10T12:22:00
1191479	1191479	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452308	1191479	1191464	Rhopalus (Rhopalus) rufus	Schilling. 1829. Hemiptera Heteroptera Silesiae systematice disposuit. Beiträge zur Entomologie 1:34-92	species	Schilling, 1829	valid			2016-05-10T12:22:00
1191480	1191480	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452280	1191480	1191463	Rhopalus (Aeschyntelus)	Stål. 1872. Genera Coreidarum Europae disposuit. Öfversigt af Konglika Vetenskaps-Akademiens Förhandlingar (Öfvers.K.VetenskAkad.Förh.Stockh) 29(6):49-56	subgenus	Stål, 1872	valid			2016-05-10T12:22:00
1191481	1191481	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452306	1191481	1191480	Rhopalus (Aeschyntelus) kerzhneri	Göllner-Scheiding. 1984. Ergänzungen zu den Gattungen Liorhyssus Stål, 1870, Niesthrea Spinola, 1837, und Rhopalus Schilling, 1827 (Heteroptera, Rhopalidae)  . Mitteilungen aus dem Zoologischen Museum in Berlin 60:115-121	species	Göllner-Scheiding, 1984	valid			2016-05-10T12:22:00
1191482	1191482	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452300	1191482	1191480	Rhopalus (Aeschyntelus) latus	Jakovlev. 1883. Contributions to the fauna of Heteroptera of Russia and the neighbouring countries. X. Bulletin de la Société Impériale des Naturalistes de Moscou (Bull. Soc. Imp. Natur. Moscou) 57(ii)(3):98-112	species	(Jakovlev, 1883)	valid			2016-05-10T12:22:00
1191483	1191483	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452305	1191482	1191480	Rhopalus (Aeschynteles) angularis	Reuter. 1888. Hemiptera sinensia enumeravit ac novas species descripsit. Revue d'Entomologie 7:63–69	species	Reuter, 1888	junior synonym			2016-05-10T12:22:00
1191484	1191484	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452304	1191482	1191480	Rhopalus (Aeschynteles) robustus	Reuter. 1891. Hemiptera Heteroptera från trakterna kring Sajanska bärgskedjan, insamlade af K. Ehnberg och R. Hammarström  . Öfversigt af Finska Vetenskaps-Societetens Förhandlingar 33(1890-1891):166-208	species	Reuter, 1891	junior synonym			2016-05-10T12:22:00
1191485	1191485	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452303	1191482	1191480	Corizus reuteri	Lethierry & Severin. 1894. Hétéroptères, Coreidae, Berytidae, Lygoeidae, Pyrrhocoridae. Catalogue général des Hémiptères, Hayez, Bruxelles Tome II:1-277	species	Lethierry & Severin, 1894	junior synonym			2016-05-10T12:22:00
1191486	1191486	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452302	1191482	1191480	Aeschyntelus notatus	Hsiao. 1963. Results of the Zoologico-Botanical Expedition to southwest China, 1955-1957 (Hemiptera, Coreidae). Acta Entomologica Sinica 12:310-344	species	Hsiao, 1963	junior synonym			2016-05-10T12:22:00
1191487	1191487	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452291	1191487	1191480	Rhopalus (Aeschyntelus) maculatus	Fieber. 1837. Beiträge zur Kenntniss der Schnabelkerfe    . Beiträge zur Gesammten Natur- und Heilwissenschaft 1:97-111, 337-355, plate 2	species	(Fieber, 1837)	valid			2016-05-10T12:22:00
1191488	1191488	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452299	1191487	1191480	Coreus crassicornis	Latreille. 1804. Histoire naturelle, générale et particulière des Crustacés et des Insectes: ouvrage faisant suite aux oeuvres de Leclerc et de Buffon, et partie du cours complet d’histoire naturelle rédigé par C.S. Sonnini, F. Dufart, Paris 12:424 pp, plates 94-97	species	Latreille, 1804	synonym			2016-05-10T12:22:00
1191489	1191489	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452298	1191487	1191480	Coreus clavicornis	Boitard. 1828. Manuel d’entomologie ou histoire naturelle des insectes, Roret, Paris 2:417 pp.	species	Boitard, 1828	synonym	invalidum; novum		2016-05-10T12:22:00
1191490	1191490	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452297	1191487	1191480	Corizus maculatus	Herrich-Schäffer. 1840. Die wanzenartigen Insecten, Nürnberg 6:1-36	species	Herrich-Schäffer, 1840	junior synonym			2016-05-10T12:22:00
1191491	1191491	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452296	1191487	1191480	Rhopalus chinensis	Dallas. 1852. List of the specimens of hemipterous insects in the collection of the British Museum, Taylor & Francis Incorporated, London II:369-592	species	Dallas, 1852	junior synonym			2016-05-10T12:22:00
1191492	1191492	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452295	1191487	1191480	Corizus ledi	Boheman. 1852. Nya svenska Hemiptera   . Öfversigt af Kongliga Vetenskaps-Akademiens Förhandlingar 9:49-60	species	Boheman, 1852	junior synonym			2016-05-10T12:22:00
1191493	1191493	urn:lsid:Coreoidea.speciesfile.org:TaxonName:452294	1191487	1191480	Corizus meridionalis		species	Jakovlev, 1869	junior synonym			2016-05-10T12:22:00
