uid	|	name	|	type	|	rank	|	
1187304	|	Cochrus	|	synonym	|		|	
1187304	|	Leptornytus	|	synonym	|		|	
1187310	|	Discogaster rufocornis	|	synonym	|		|	
1187252	|	Discogastrina	|	synonym	|		|	
1187332	|	Choerommatus niger	|	synonym	|		|	
1187346	|	Petalocnemis antennatus	|	synonym	|		|	
1187343	|	Chaerommatellus	|	synonym	|		|	
1187324	|	Acanthocorides	|	synonym	|		|	
1187324	|	Acanthocoreoidae	|	synonym	|		|	
1187324	|	Physomeraria	|	synonym	|		|	
1187374	|	Lygaeus calcar	|	synonym	|		|	
1187374	|	Coreus (Cerbus) oedymerus	|	synonym	|		|	
1187374	|	Physomerus delineatus	|	synonym	|		|	
1187373	|	Phycomerus	|	synonym	|		|	
1187384	|	Rhyticoris reticollis	|	synonym	|		|	
1187384	|	Piezogaster patulus	|	synonym	|		|	
1187387	|	Cerbus crassiclunis	|	synonym	|		|	
1187324	|	Physomerini	|	synonym	|		|	
1187414	|	Crinocerus grylloides	|	synonym	|		|	
1187414	|	Crinocerus porcus	|	synonym	|		|	
1187414	|	Crinocerus aper	|	synonym	|		|	
1187425	|	Acanthocoris rotundatus	|	synonym	|		|	
1187425	|	Acanthocoris tarsalis	|	synonym	|		|	
1187438	|	Alydus scaber	|	synonym	|		|	
1187438	|	Crinocerus scabripes	|	synonym	|		|	
1187441	|	Cimex clavipes	|	synonym	|		|	
1187441	|	Cimex magnipes	|	synonym	|		|	
1187441	|	Crinocerus fuscus	|	synonym	|		|	
1187441	|	Acanthocoris acutus	|	synonym	|		|	
1187451	|	Anhomoeus shadabi	|	synonym	|		|	
1187455	|	Leptoscelini	|	synonym	|		|	
1187455	|	Anisoscelidini	|	synonym	|		|	
1187468	|	Diactor cincticollis	|	synonym	|		|	
1187467	|	Lygaeus braccatus	|	synonym	|		|	
1187467	|	Anisoscelis faliacea	|	synonym	|		|	
1187484	|	Anisoscelis flavolineatus	|	synonym	|		|	
